𪨊	ssur
卬	ahpe
嗌	aikm
砹	aiux
叆	aiey
锿	aij_
锿	aijy
毐	aiuw
堨	aitv
埃	aitu
唵	ank_
唵	ankd
埯	ant_
犴	anqg
垵	antn
盦	anrm
聱	aofe
媪	aon_
媪	aonm
璈	aow_
璈	aoww
廒	aogw
岙	aoy_
奡	aoa_
奡	aoal
隩	aoe_
隩	aoed
吧	bak_
八	bap_
巴	bav_
爸	bab_
罢	bas_
霸	bay_
拔	baf_
扒	bafb
坝	bat_
芭	bac_
叭	bakb
疤	babb
靶	bag_
捌	bafd
耙	bal_
跋	baz_
粑	bam_
钯	baj_
灞	bad_
笆	bavb
鲅	baa_
巴	basl
八	bapn
巴	bavv
罢	bass
霸	bayo
坝	batr
芭	bacb
靶	bagb
跋	bazd
钯	bajb
灞	bado
鲅	baad
斌	bbw_
宾	bbb_
彬	bbm_
鬓	bba_
濒	bbd_
殡	bbdb
缤	bbs_
槟	bbmb
摈	bbf_
膑	bbo_
玢	bbwd
镔	bbj_
斌	bbwv
彬	bbmp
鬓	bbab
濒	bbdr
缤	bbsb
摈	bbfb
膑	bbob
镔	bbjb
包	bcb_
宝	bcby
保	bcr_
抱	bcf_
爆	bch_
暴	bco_
薄	bcc_
炮	bchs
堡	bcrt
曝	bcou
豹	bcv_
饱	bcu_
鲍	bca_
煲	bcrh
剥	bce_
剥	bced
刨	bcbd
瀑	bcd_
胞	bcos
褒	bcw_
葆	bccm
苞	bccs
孢	bczs
雹	bcy_
趵	bcz_
褓	bcp_
包	bcbs
保	bcrm
抱	bcfs
薄	bccc
饱	bcus
鲍	bcas
褒	bcwy
雹	bcys
褓	bcpm
百	bda_
摆	bdf_
拜	bdu_
败	bdk_
柏	bdm_
伯	bdrb
呗	bdkr
掰	bduu
佰	bdr_
稗	bdh_
捭	bdfu
百	bdab
摆	bdfs
拜	bduf
败	bdkw
柏	bdmb
笨	bfv_
奔	bfd_
苯	bfc_
本	bfaa
锛	bfj_
本	bfa_
奔	bfdc
坌	bfb_
坌	bfbt
苯	bfcb
锛	bfjc
贲	bfur
崩	bge_
泵	bgu_
甭	bgb_
嘣	bgk_
蹦	bgzo
绷	bgs_
蚌	bgi_
迸	bgz_
崩	bgeo
甭	bgby
镚	bgj_
镚	bgjo
嘣	bgko
绷	bgso
蚌	bgif
迸	bgzk
祊	bgp_
祊	bgpf
彭	bhup
棒	bhm_
榜	bhmf
邦	bhf_
绑	bhs_
磅	bhu_
傍	bhr_
镑	bhj_
蚌	bhi_
浜	bhd_
膀	bho_
谤	bhy_
梆	bhme
蒡	bhc_
帮	bhfj
邦	bhfe
绑	bhse
磅	bhuf
镑	bhjf
浜	bhdb
膀	bhof
谤	bhyf
蒡	bhcf
必	bid_
逼	bizt
笔	biv_
箅	bivl
币	bip_
碧	biw_
毕	bibu
彼	bii_
避	biz_
壁	biu_
秘	bihb
鼻	bizl
闭	bim_
臂	biuo
弊	bidc
敝	bidw
毙	bib_
蔽	bic_
哔	bik_
俾	bir_
婢	bin_
痹	bibl
弼	bigg
庇	big_
哔	biku
匕	bipv
贲	biur
泌	bidb
吡	bikb
陛	bie_
铋	bij_
篦	bivb
裨	bipu
蓖	bicb
毖	bibb
筚	bivu
濞	bidl
纰	bis_
荸	bicz
必	bidd
笔	bivm
币	bipj
彼	biiy
壁	biut
蔽	bicw
鄙	bike
婢	binu
陛	biet
纰	bisb
版	bjp_
般	bjv_
半	bjd_
班	bjw_
办	bjld
板	bjm_
板	bjmy
搬	bjf_
斑	bjww
伴	bjr_
扮	bjfd
拌	bjfb
瓣	bjl_
扳	bjfy
颁	bjb_
坂	bjt_
绊	bjs_
阪	bje_
钣	bjjy
瘢	bjby
版	bjpy
伴	bjrb
颁	bjbr
绊	bjsb
病	bkb_
兵	bkq_
冰	bkd_
屏	bkuk
并	bkbk
饼	bku_
丙	bka_
炳	bkh_
秉	bkp_
柄	bkm_
禀	bkw_
摒	bkf_
邴	bkbe
病	bkbb
兵	bkqb
丙	bkan
炳	bkhb
秉	bkpn
禀	bkwx
摒	bkfk
便	bmr_
变	bmw_
遍	bmz_
编	bms_
边	bmzl
扁	bmh_
辩	bml_
鞭	bmg_
辫	bmlu
贬	bmk_
卞	bmdx
匾	bmkc
弁	bmsc
砭	bmu_
汴	bmd_
苄	bmc_
鳊	bma_
蝙	bmic
便	bmrg
变	bmwy
贬	bmkf
汴	bmdb
苄	bmcb
鳊	bmac
标	bnm_
婊	bnn_
彪	bnh_
飙	bnq_
镖	bnj_
膘	bno_
裱	bnp_
骠	bnmx
彪	bnhp
飙	bnqx
膘	bnox
裱	bnpy
镳	bnjh
波	bod_
博	bou_
伯	bor_
薄	boc_
拨	bofd
柏	bom_
播	bof_
卜	bol_
泊	bodb
搏	bofc
剥	boe_
勃	boul
驳	bomx
钵	bojb
簿	bovc
玻	bow_
脖	booz
铂	boj_
蕃	boct
帛	bob_
跛	boz_
渤	bodl
钹	bojd
菠	bocy
膊	boo_
亳	bowq
舶	bovb
簸	bovy
擘	bouu
檗	boum
饽	bouz
礴	bouc
波	body
伯	borb
薄	bocc
柏	bomb
播	boft
卜	bold
剥	boed
玻	bowy
帛	bobj
跛	bozy
膊	booc
鲌	boa_
箔	bov_
憋	bpd_
鳖	bpda
瘪	bpb_
蹩	bpdr
别	bpkd
憋	bpdx
瘪	bpbb
别	bpk_
不	bua_
布	buu_
补	bup_
步	buv_
堡	bur_
不	buad
捕	buf_
卟	bukb
簿	buvc
卜	bul_
埠	but_
钚	buj_
埔	butf
怖	bux_
哺	buk_
逋	buz_
步	buvp
堡	burt
怖	buxj
逋	buzf
倍	bwr_
北	bwl_
背	bwlo
呗	bwk_
被	bwpy
杯	bwm_
贝	bwkr
悲	bwf_
备	bww_
辈	bwfi
臂	bwuo
碑	bwu_
勃	bwul
卑	bwp_
蓓	bwc_
焙	bwh_
悖	bwx_
陂	bwe_
钡	bwj_
狈	bwq_
惫	bwwx
碚	bwuk
倍	bwrk
北	bwlb
杯	bwmb
悲	bwfx
备	bwwt
卑	bwpu
蓓	bwck
焙	bwhk
陂	bwey
钡	bwjr
狈	bwqr
辟	biuu
朳	bamb
犇	bfn_
睥	bio_
睥	biou
荜	bicu
啵	bok_
啵	boky
魃	bagd
菝	bacd
岜	bae_
岜	baeb
妭	ban_
妭	band
胈	bao_
胈	baod
哱	bakz
羓	bayb
鲃	baab
豳	bbe_
豳	bbeu
髌	bbg_
髌	bbgb
傧	bbr_
傧	bbrb
邠	bbbe
枹	bcms
畚	bfs_
栟	bfm_
甏	bguw
堋	bgt_
堋	bgto
琫	bgw_
琫	bgwl
泵	bguu
玤	bhw_
玤	bhwf
棓	bhmk
塝	bht_
塝	bhtf
搒	bhff
滗	bidm
髀	bigu
秕	bih_
妣	binb
畀	bit_
畀	bitl
嬖	biun
愎	bix_
赑	bikr
狴	biq_
狴	biqt
坒	bibt
佖	birb
邲	bibe
诐	biy_
珌	biwb
觱	bixy
觱	biwy
鲾	bia_
鲾	biat
癍	bjbw
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
昺	bko_
昺	bkob
蛃	bki_
蛃	bkib
褊	bmp_
忭	bmx_
抃	bmf_
抃	bmfb
碥	bmuc
昪	bmo_
昪	bmoc
萹	bmcc
鳔	bna_
鳔	bnax
飑	bnjs
杓	bnmu
俵	bnr_
俵	bnry
瘭	bnb_
瘭	bnbx
脿	bnoy
蔈	bnc_
蔈	bncx
熛	bnhx
儦	bnrh
藨	bnch
鹁	boun
僰	boar
砵	boub
踣	bozk
哱	bokz
桲	bomz
鲌	boab
榑	bomc
嶓	boet
镈	bojc
馞	boh_
馞	bohz
磻	bout
晡	buo_
晡	buof
醭	buyn
蔀	buc_
鞴	bwgy
鐾	bwuj
庳	bwgu
鹎	bwpn
椑	bwmu
糒	bwmy
蚆	baib
宾	bbbb
白	bdpo
倴	bfrc
坋	bftd
瀌	bndh
摽	bnfx
表	bnfy
袯	bopd
嚓	cak_
拆	caf_
拆	cafi
嚓	cakx
擦	cafx
操	ccf_
曹	cca_
槽	ccm_
糙	ccmz
嘈	cck_
漕	ccd_
操	ccfm
曹	ccao
槽	ccmo
嘈	ccko
漕	ccdo
才	cda_
踩	cdz_
彩	cdpp
蔡	cdc_
菜	cdcm
财	cdk_
采	cdp_
猜	cdq_
材	cdm_
裁	cdu_
睬	cdo_
才	cdap
踩	cdzm
蔡	cdcx
财	cdkc
采	cdpm
猜	cdqo
裁	cduy
睬	cdom
侧	cer_
册	cep_
策	cev_
栅	cem_
测	cedd
厕	cei_
恻	cex_
侧	cerd
册	cepa
策	cevn
栅	cemc
厕	ceid
恻	cexd
测	ced_
参	cfs_
涔	cfd_
参	cfsp
涔	cfdv
岑	cfev
岑	cfe_
层	cgu_
蹭	cgz_
噌	cgk_
层	cgus
曾	cgbo
蹭	cgzo
噌	cgko
曾	cgb_
仓	chr_
苍	chc_
舱	chv_
沧	chd_
伧	chrv
藏	chci
舱	chvv
沧	chdv
此	civ_
词	ciy_
刺	cia_
赐	cik_
次	cidr
慈	cib_
茨	cic_
辞	ciq_
瓷	cid_
磁	ciu_
祠	cip_
雌	civf
伺	cir_
兹	ciby
疵	cibb
差	ciyg
糍	cim_
鹚	cibn
此	civb
刺	ciad
赐	cikw
慈	cibx
茨	cicr
瓷	cidw
磁	ciuy
伺	cirk
糍	cimy
残	cjd_
惨	cjx_
餐	cjl_
灿	cjh_
参	cjsp
掺	cjf_
蚕	cjt_
惭	cjxj
璨	cjw_
粲	cjlm
孱	cju_
惨	cjxp
餐	cjll
灿	cjhe
掺	cjfp
蚕	cjti
璨	cjwm
孱	cjuz
搓	cof_
措	cofo
挫	coft
撮	cofy
错	cojo
厝	coi_
锉	coj_
磋	coug
蹉	coz_
痤	cob_
嵯	coe_
搓	cofg
厝	coio
蹉	cozg
痤	cobt
嵯	coeg
莝	coc_
攒	crf_
蹿	crz_
篡	crv_
攒	crfr
窜	crbi
蹿	crzi
篡	crvs
窜	crb_
葱	csc_
丛	csr_
聪	cse_
琮	csw_
从	csrr
淙	csd_
匆	csb_
枞	csmr
骢	csm_
囱	csp_
葱	cscx
丛	csra
聪	csex
淙	csdx
匆	csbd
骢	csmx
囱	cspw
醋	cuy_
促	cur_
卒	cuw_
簇	cuv_
粗	cumq
蹙	cua_
蹙	cuar
猝	cuq_
蹴	cuz_
醋	cuyo
促	curr
簇	cuvu
蹙	cuwr
猝	cuqu
蹴	cuzy
粗	cum_
崔	cve_
翠	cvx_
衰	cvwy
脆	cvo_
催	cvrf
摧	cvf_
萃	cvc_
粹	cvm_
淬	cvd_
啐	cvk_
璀	cvw_
悴	cvxu
瘁	cvb_
崔	cvef
脆	cvov
摧	cvff
粹	cvmu
淬	cvdu
啐	cvku
璀	cvwf
瘁	cvbu
催	cvr_
存	cyu_
寸	cya_
皴	cys_
忖	cyx_
村	cymc
存	cyuz
寸	cyad
皴	cysy
忖	cyxc
村	cym_
辏	czi_
辏	czit
璁	cswx
螬	cci_
螬	ccio
艚	ccv_
艚	ccvo
嶒	cge_
嶒	cgeo
玱	chw_
玱	chwv
鸧	chrn
呲	cikb
跐	ciz_
跐	cizb
茈	cicb
佽	cirr
泚	cidb
莿	cicd
黪	cjhp
骖	cjm_
骖	cjmp
矬	cou_
矬	cout
鹾	col_
鹾	colg
脞	coo_
脞	coot
瘥	cobg
莝	coct
酂	con_
酂	cone
撺	crfi
镩	crj_
镩	crji
爨	crp_
爨	crph
汆	crr_
苁	cscr
熜	csh_
悰	csx_
悰	csxx
蔟	cuc_
殂	cud_
殂	cudq
徂	cui_
徂	cuiq
酢	cuyv
榱	cvmy
崒	cveu
缞	cvs_
缞	cvsy
漼	cvdf
邨	cyt_
邨	cyte
腠	czo_
腠	czot
草	cccu
玼	ciwb
瑳	cowg
凑	czdt
打	daf_
达	daz_
答	dav_
垯	dat_
搭	dafk
大	daun
哒	dak_
嗒	dakk
沓	dau_
瘩	dab_
鞑	dag_
惮	dax_
耷	dad_
褡	dap_
打	dafd
答	davk
沓	dauo
耷	dade
道	dcz_
倒	dcr_
刀	dcv_
岛	dcp_
到	dcad
导	dcs_
盗	dcd_
捣	dcf_
稻	dch_
叨	dck_
悼	dcx_
蹈	dczj
祷	dcpc
焘	dcfh
氘	dcq_
道	dczz
倒	dcrd
刀	dcvp
岛	dcpe
导	dcsc
捣	dcfe
稻	dchj
叨	dckd
带	ddf_
待	ddi_
戴	ddu_
呆	ddk_
袋	ddry
贷	ddr_
黛	ddrh
逮	ddz_
歹	dda_
岱	ddre
怠	dds_
傣	ddru
殆	ddd_
棣	ddm_
大	ddun
诒	ddy_
玳	ddw_
带	ddfj
待	ddic
戴	ddub
呆	ddkm
贷	ddrr
逮	ddzn
歹	ddax
怠	ddsx
棣	ddmn
诒	ddyk
埭	ddtn
玳	ddwy
地	det_
德	dei_
地	dety
得	deic
德	deix
灯	dgh_
邓	dgy_
登	dgv_
瞪	dgo_
蹬	dgz_
凳	dgvj
噔	dgk_
镫	dgja
嶝	dge_
磴	dgu_
灯	dghd
邓	dgye
登	dgva
瞪	dgoa
澄	dgd_
澄	dgda
蹬	dgza
噔	dgka
嶝	dgea
磴	dgua
党	dhx_
档	dhm_
挡	dhf_
荡	dhc_
当	dhxe
铛	dhj_
裆	dhp_
凼	dhu_
宕	dhb_
谠	dhy_
砀	dhup
菪	dhcu
挡	dhfe
荡	dhcp
铛	dhje
裆	dhpe
凼	dhuk
宕	dhbu
垱	dht_
垱	dhte
第	div_
滴	didk
低	dir_
底	dig_
地	dity
帝	diw_
迪	dizy
弟	dib_
敌	diq_
嘀	dik_
蒂	dic_
抵	dif_
递	diz_
狄	diqh
笛	divy
堤	dit_
娣	dinp
谛	diy_
涤	did_
邸	dide
荻	dich
嫡	din_
棣	dim_
氐	diu_
缔	dis_
骶	digd
砥	diud
镝	dij_
坻	ditd
诋	diyd
碲	diuj
提	difr
第	divp
低	dird
弟	dibp
敌	diqw
嘀	dikk
蒂	dicj
抵	difd
递	dizp
翟	dixf
堤	ditr
嫡	dink
棣	dimn
镝	dijk
单	djb_
蛋	djv_
丹	djp_
淡	djd_
但	djrd
胆	djo_
弹	djg_
担	djf_
旦	djoa
氮	djq_
儋	djr_
诞	djy_
啖	djk_
耽	dje_
掸	djfl
石	dja_
膻	djod
惮	djx_
殚	djdl
郸	djbe
眈	djov
石	djak
丹	djpa
担	djfd
氮	djqh
儋	djrk
耽	djev
顶	dkd_
丁	dka_
鼎	dkov
订	dky_
定	dkbr
叮	dkk_
钉	dkj_
盯	dko_
町	dkt_
腚	dkor
锭	dkjr
啶	dkkr
碇	dku_
酊	dkyd
仃	dkr_
铤	dkjz
丁	dkal
叮	dkkd
钉	dkjd
盯	dkod
町	dktd
碇	dkur
仃	dkrd
店	dmg_
电	dml_
殿	dmu_
点	dmlh
典	dmlb
垫	dmf_
碘	dmub
滇	dmd_
奠	dmbd
甸	dmbt
掂	dmfk
癫	dmb_
巅	dme_
淀	dmdr
惦	dmx_
钿	dmj_
踮	dmz_
佃	dmr_
靛	dmfr
簟	dmv_
玷	dmw_
癜	dmby
店	dmgk
电	dmlv
颠	dmur
垫	dmft
滇	dmdb
癫	dmbr
巅	dmer
钿	dmjt
踮	dmzk
佃	dmrt
玷	dmwk
掉	dnf_
吊	dnk_
叼	dnkd
钓	dnj_
调	dnyk
鸟	dnp_
鸟	dnw_
刁	dnv_
貂	dnvk
凋	dnd_
碉	dnuk
鸟	dnpa
鸟	dnwd
鲷	dna_
雕	dnkf
掉	dnfu
吊	dnkj
钓	dnju
鲷	dnak
夺	dod_
躲	dou_
朵	doj_
隋	doeo
剁	dojd
堕	doe_
驮	dom_
度	dog_
舵	dov_
哆	dokx
铎	dojl
跺	doz_
垛	dot_
踱	dozy
惰	dox_
咄	dok_
掇	dof_
柁	domb
度	dogy
夺	dodc
躲	doum
堕	doet
舵	dovb
跺	dozm
垛	dotm
惰	doxo
咄	doki
掇	dofy
爹	dpb_
蝶	dpi_
碟	dpu_
叠	dpy_
跌	dpzu
谍	dpym
迭	dpz_
佚	dpr_
牒	dpp_
喋	dpk_
耋	dpl_
爹	dpbx
蝶	dpim
碟	dpum
叠	dpyq
喋	dpkm
耋	dplt
丢	dqp_
丢	dqps
短	dru_
断	drm_
端	drl_
锻	drj_
缎	drs_
煅	drh_
椴	drmy
短	drua
锻	drjy
缎	drsy
塅	drt_
塅	drty
东	dsa_
洞	dsd_
懂	dsx_
董	dsc_
动	dsel
冬	dsw_
栋	dsm_
冻	dsdd
咚	dsk_
侗	dsr_
峒	dse_
氡	dsq_
垌	dst_
硐	dsu_
恫	dsxk
胴	dso_
东	dsad
洞	dsdk
懂	dsxv
董	dscv
冬	dswd
侗	dsrk
峒	dsek
氡	dsqd
硐	dsuk
胴	dsok
度	dug_
毒	duf_
杜	dum_
都	dul_
独	duq_
赌	duk_
渡	dud_
堵	dut_
肚	duo_
嘟	duke
督	duu_
睹	duoo
笃	duv_
妒	dun_
镀	duj_
渎	dudd
犊	dund
牍	dup_
椟	dumd
读	duy_
毒	dufm
杜	dumt
赌	duko
渡	dudy
堵	duto
肚	duot
督	duuo
笃	duvm
镀	dujy
牍	dupd
蠹	dua_
队	dve_
堆	dvt_
兑	dvb_
敦	dvw_
对	dvyc
碓	dvu_
追	dvz_
追	dvzk
堆	dvtf
兑	dvbe
敦	dvww
碓	dvuf
得	dwi_
得	dwic
嗲	dxk_
嗲	dxkx
吨	dyk_
顿	dytr
盾	dyp_
炖	dyh_
蹲	dyz_
敦	dyw_
墩	dyt_
遁	dyzo
囤	dykt
钝	dyj_
盹	dyo_
沌	dyd_
趸	dywr
盾	dypo
炖	dyht
蹲	dyzc
墩	dytw
盹	dyot
沌	dydt
斗	dzd_
豆	dza_
逗	dzz_
抖	dzf_
窦	dzbd
兜	dzp_
兜	dzbe
陡	dze_
痘	dzb_
蔸	dzc_
蚪	dzi_
读	dzyd
豆	dzaa
逗	dzza
兜	dzpe
陡	dzer
痘	dzba
蔸	dzce
蚪	dziu
妲	dan_
妲	dand
睇	dio_
柢	dimd
赕	djkh
瘅	djbl
疔	dkb_
疔	dkbd
杕	domd
笪	davd
怛	daxd
跶	dazz
荙	dac_
荙	dacz
炟	dah_
溚	dadk
纛	dcfx
捯	dcfd
舠	dcvd
帱	dcj_
帱	dcjc
梼	dcm_
梼	dcmc
忉	dcxd
鱽	dca_
呔	ddkt
迨	ddzk
绐	ddsk
轪	ddid
垈	ddrt
叇	dde_
叇	ddez
锝	dej_
锝	dejc
嘚	dek_
嘚	dekc
扽	dff_
扽	dfft
戥	dgog
璒	dgw_
璒	dgwa
珰	dhw_
珰	dhwe
睇	diop
籴	dirm
觌	diue
菂	dicu
遆	dizj
媂	dinj
髢	dia_
髢	diay
䃅	diul
疐	diur
踶	dizr
鞮	digr
蹢	dizk
萏	djc_
萏	djcj
聃	djer
疍	djvd
惔	djxh
憺	djxk
玎	dkw_
玎	dkwd
耵	dke_
耵	dked
坫	dmtk
阽	dmek
扂	dmh_
扂	dmhk
琔	dmwr
铫	dnjd
铞	dnjj
窎	dnb_
窎	dnbn
隳	doex
哚	dokm
裰	dop_
裰	dopy
埵	doti
剟	doyd
㙍	doty
鲽	dpa_
鲽	dpam
垤	dpt_
堞	dptm
垤	dptt
蹀	dpzm
瓞	dpg_
瓞	dpgu
昳	dpo_
昳	dpou
咥	dpkt
绖	dps_
绖	dpst
䏲	dpop
铥	dqj_
铥	dqjs
簖	drv_
簖	drvj
瑖	drwy
耑	dre_
耑	dree
鸫	dsdn
胨	dsod
岽	dsed
髑	dugi
黩	duh_
厾	duvs
芏	duct
姤	dunk
镦	dvj_
镦	dvjw
怼	dvy_
祋	dvp_
祋	dvpy
礅	dyuw
惇	dyxz
砘	dyut
坉	dytt
忳	dyxt
篼	dzv_
篼	dzve
钭	dzj_
钭	dzju
的	debu
憕	dgxa
亶	djwd
萣	dkcr
椆	dnmk
亸	dowl
楪	dpmm
段	drpy
烔	dshk
楯	dymo
呃	eek_
哦	eekw
恶	eey_
饿	eeu_
额	eebr
俄	eer_
莪	eecw
厄	eei_
鹅	eew_
噩	eewk
鄂	eeke
娥	een_
蛾	eeiw
峨	eee_
讹	eeyb
扼	eef_
噩	eea_
萼	eec_
遏	eez_
锷	eej_
谔	eeyk
阿	eeek
愕	eex_
颚	eekr
鹗	eekn
腭	eeo_
婀	eenk
锇	eejw
垩	eeyt
额	eeb_
呃	eekv
恶	eeyx
饿	eeuw
俄	eerw
鹅	eewn
娥	eenw
峨	eeew
扼	eefv
鳄	eeak
萼	eeck
遏	eezv
锷	eejk
腭	eeok
嗯	enk_
摁	enf_
摁	enfx
恩	enkx
儿	erp_
二	eraa
尔	erd_
耳	era_
而	eral
迩	erz_
贰	ery_
饵	eru_
洱	erde
铒	erj_
儿	erpv
尔	erdx
迩	erzx
饵	erue
铒	erje
轭	eeiv
欸	eis_
欸	eisr
阏	eem_
阏	eemd
屙	eeuk
苊	eecv
蒽	enc_
蒽	encx
鸸	ere_
鸸	eren
珥	erw_
珥	erwe
鲕	erae
佴	err_
佴	erre
陑	eree
耏	erep
咡	erk_
涐	eedw
堨	eetv
发	fav_
伐	far_
罚	fas_
阀	fam_
乏	fap_
筏	favg
珐	faw_
垡	fart
砝	fau_
发	favd
