实践是检验真理的唯一标准	plju
前无古人后无来者	ufdf
壮士一去兮不复返	ufgr
癞蛤蟆想吃天鹅肉	ujjm
单位银行结算账户	uwqo
战区导弹防御系统	valx
早起的鸟儿有虫吃	vkkk
狗嘴里吐不出象牙	vkur
独乐乐不如众乐乐	vqqq
好钢要用在刀刃上	vqsh
960万平方公里	vunu
仁者见仁智者见智	wfmc
Windows7	wina
他山之石可以攻玉	wmpb
人民代表大会制度	wnhl
约翰·克利斯朵夫	xkua
身体是革命的本钱	ywjq
从这个意义上来说	acoy3
东平农村合作银行	afph2
聚少成多用非所长	biph2
联合国教科文组织	bwlx2
鱼与熊掌不可兼得	cqjh2
三大纪律八项注意	ddxx2
三个代表重要思想	doht2
无人不知无人不晓	fwgj2
青菜萝卜各有所爱	gaaj3
一叶障目不见泰山	gkbm2
不怕一万就怕万一	gngg2
一个天上一个地下	gogg2
一方有难八方支援	gper2
王侯将相宁有种乎	gwut2
不经一事不长一智	gxgc2
法律面前一律平等	ihdt2
Internet	intt2
国家导弹防御系统	lplx2
全面建设小康社会	odwo2
社会主义精神文明	oobj2
社会主义初级阶段	oobn2
社会主义和谐社会	oobo3
养军千日用军一时	ppqj2
养军千日用在一时	ppqj3
养兵千日用在一时	prqj2
重赏之下必有勇夫	qjpa2
千里之行始于足下	qupg2
持续快速健康发展	rxnn2
中国科学技术大学	slti2
箭在弦上不得不发	tdxh2
第一个吃螃蟹的人	tgow2
前不着村后不着店	ugpo2
新疆维吾尔自治区	uxxa2
君子不立危墙之下	vbgg2
偷鸡不成反蚀把米	wcgo3
WindowXP	winp3
约翰·克里斯朵夫	xkua2
农村信用合作社	ps7
芳草萋萋鹦鹉洲	aaai
年年岁岁花相似	aamw
从某种意义上说	aaty
从这个意义上说	acoy
从这种意义上说	acty
英雄难过美人关	adcs
英雄无用武之地	adff
花开堪折直须折	aefr
坐地日行八万里	afju
花径不曾缘客扫	ahgr
敬酒不吃吃罚酒	aigi
蓝田日暖玉生烟	aljo
从心所欲不逾矩	anlc
东方不亮西方亮	apgh
黄鹤一去不复返	apgr
苟利国家生死以	atln
蓬门今始为君开	aude
芝麻开花节节高	aveh
蒙娜丽莎的微笑	avgt
从什么时候开始	awov
落红岂是无情物	axmn
娶了媳妇忘了娘	bbvv
陀斯妥耶夫斯基	bheh
奥斯特洛夫斯基	bhnh
出师未捷身先死	bjfb
聪明反被聪明误	bjry
除却巫山不是云	blac
帼国文明示范岗	blcm
陀思妥耶夫斯基	bleh
子欲养而亲不待	bmph
随着时间的推移	bpjt
出乎我意料之外	btrq
联产承包责任制	bubl
防人之心不可无	bwpf
驰骋天下之至坚	ccgt
此地无银三百两	cffe
此一时彼一时也	cgjm
此时无声胜有声	cjff
这山望着那山高	cmyh
手心手背都是肉	cncm
此情可待成追忆	cnsn
此恨绵绵无绝期	cnxh
柴米油盐酱醋茶	coia
知我者谓我心忧	crfn
举杯消愁愁更愁	csit
难酬蹈海亦英雄	csld
举杯销愁愁更愁	csqt
马丁·路德·金	csub
云想衣裳花想容	ctyp
劝君须惜少年时	cvej
劝君更尽一杯酒	cvgi
劝君惜取少年时	cvnj
知人知面不知心	cwcn
知识越多越反动	cykc
大限来时各自飞	dbxn
大难临头各自飞	dcjn
大难来时各自飞	dcxn
面壁十年图破壁	ddfd
大丈夫何患无妻	dgag
春蚕到死丝方尽	dgan
牵一发而动全身	dghy
面不改色心不跳	dgll
面朝黄土背朝天	dkag
今朝有酒今朝醉	dkes
历史的耻辱柱上	dkkh
春宵一刻值千金	dpgb
布宜诺斯艾利斯	dpyh
大人不记小人过	dwgf
古来圣贤皆寂寞	dxcp
有花堪折直须折	eafr
有百害而无一利	edjt
有压力才有动力	edll
胳膊拧不过大腿	eere
胜者王侯败者寇	efgp
胜者为王败者寇	eflp
先天下之忧而忧	eggn
先天下之乐而乐	eggq
肥水不流外人田	ehgl
两害相权取其轻	ejtl
有所为有所不为	elll
两岸猿声啼不住	emvw
有恒产者有恒心	enun
有情人终成眷属	enwn
有钱能使鬼推磨	eqjv
两利相权趋其重	ettq
股份制商业银行	ewlh
有缘千里来相会	exqo
有缘千里来相逢	exqt
十七届三中全会	fano
老子英雄儿好汉	fbai
寸金难买寸光阴	fbcb
无限风光在险峰	fbnm
后天下之忧而忧	fggn
后天下之乐而乐	fggq
十一届三中全会	fgno
零玖五笔第二代	fgsh
志不强者智不达	fgxd
远水救不了近火	fhfo
远上寒山石径斜	fhpw
博斯普鲁斯海峡	fhum
Firefox	firx
无为有处有还无	flef
十分重要的作用	fmqe
无事不登三宝殿	fngn
无心插柳柳成荫	fnra
直挂云帆济沧海	frcc
十六届五中全会	funo
天若有情天亦老	gaef
一切尽在不言中	gans
不知道说什么好	gcqv
不知道什么时候	gcqw
王顾左右而言它	gddp
王顾左右而言他	gddw
一石激起千层浪	gdii
一二三四五六七	gfda
一寸光阴一寸金	gfkb
天下文章一大抄	ggcr
天下谁人不识君	ggyv
一发而不可收拾	ghdr
天长地久有时尽	ghfn
一日夫妻百日恩	gjal
一日之计在于晨	gjpj
不畏浮云遮望眼	glih
不为五斗米折腰	glse
不见棺材不掉泪	gmsi
不以成败论英雄	gnpd
一个萝卜一个坑	goaf
不拘一格降人才	grgf
一失足成千古恨	grln
不可沽名学霸王	gsig
不患贫而患不均	gsmf
不患贫而患不安	gsmp
不患寡而患不均	gspf
不管三七二十一	gtdg
不管他人瓦上霜	gtwf
一将功成万骨枯	guas
一闪一闪亮晶晶	gugj
不战而屈人之兵	gvdr
还君明珠双泪垂	gvjq
不如相忘于江湖	gvti
表示衷心的感谢	gwvy
一人做事一人当	gwwi
一哭二闹三上吊	gxfk
一夜夫妻百日恩	gyal
一语惊醒梦中人	gynw
不识庐山真面目	gyoh
书到用时方恨少	haei
得了便宜还卖乖	hbwq
行百里者半九十	hduf
得饶人处且饶人	hhww
长江后浪推前浪	hifi
上梁不正下梁歪	higg
长风破浪会有时	hndj
得民心者得天下	hnng
行成于思毁于随	hpfb
睁着眼睛说瞎话	hphy
高等教育出版社	htfo
瞎猫碰上死耗子	hvdb
长使英雄泪满襟	hwab
化作春泥更护花	hwda
得来全不费工夫	hxoa
少年不识愁滋味	iagk
沧海月明珠有泪	icei
没有不散的宴席	iegl
沉舟侧畔千帆过	iewf
清官难断家务事	ipcn
深巷明朝卖杏花	irja
小楼一夜听春雨	isgm
ISO9000	isof
ISO9004	isol
ISO9000	ison
酒逢知己千杯少	itci
巴布亚新几内亚	jdgg
冒天下之大不韪	jggj
最毒不过妇人心	jggn
师夷长技以制夷	jghg
晴川历历汉阳树	jjds
蜡炬成灰泪始干	jopf
是可忍孰不可忍	jsvv
日暮乡关何处是	jsxj
害人之心不可有	jwpe
白云深处有人家	kcip
白云生处有人家	kcpp
白云千载空悠悠	kcqw
唯有饮者留其名	kehq
哪壶不开提哪壶	kfgf
世上今人胜古人	khdw
白发人送黑发人	khww
只是当时已惘然	kjiq
吹尽黄沙始见金	knab
世事洞明皆学问	kniu
哈尔滨工业大学	kqii
皇帝不急太监急	kugq
只缘身在最高层	kxyn
只缘身在此山中	kxys
车到山前必有路	laml
国际交流与合作	lbuw
四海之内皆兄弟	lcpu
踏破铁鞋无觅处	ldqt
国有大中型企业	ledo
为有源头活水来	leix
置于死地而后生	lfbp
回眸一笑百媚生	lhgp
回头一笑百媚生	ligp
路见不平一声吼	lmgk
男儿膝下有黄金	lqeb
车尔尼雪夫斯基	lqnh
力拔山兮气盖世	lrmk
为人谋而不忠乎	lwyt
曾经沧海难为水	lxih
赔了夫人又折兵	mbar
同是天涯沦落人	mjgw
岂因祸福避趋之	mlop
岁岁年年人不同	mmam
贫贱夫妻百事哀	mmay
非物质文化遗产	mnru
山重水复疑无路	mqhl
梦里不知身是客	mugp
风萧萧兮易水寒	naap
以阶级斗争为纲	nbxx
眉毛胡子一把抓	ncdr
惟有饮者留其名	nehq
心有灵犀一点通	nevc
心有余而力不足	newl
恨不相逢未嫁时	ngtj
屋漏偏逢连夜雨	niwm
风物长宜放眼量	nnhj
心底无私天地宽	nofp
敢把皇帝拉下马	nrkc
飞入寻常百姓家	ntvp
情人眼里出西施	nwhp
各项工作取得了	oaab
神龙见首不见尾	odmn
烟波江上使人愁	oiit
全省农村信用社	oipo
社会主义现代化	oobh
社会主义新农村	oobs
业精于勤荒于嬉	oofv
庄生晓梦迷蝴蝶	opjj
广西壮族自治区	osua
各人自扫门前雪	owtf
羊毛出在羊身上	pcbh
宁夏回族自治区	pdla
成者王侯败者寇	pfgp
成者为王败者贼	pflm
成者为王败者寇	pflp
放之四海而皆准	pplu
冤家宜解不宜结	pppx
冤冤相报何时了	pptb
宜将剩勇追穷寇	putp
千金散尽还复来	qbax
留取丹心照汗青	qbmg
乱云飞渡仍从容	qcnp
锦瑟无端五十弦	qgfx
道不同不相为谋	qgmy
多行不义必自毙	qhga
儿行千里母担忧	qhqn
千呼万唤始出来	qkgx
勿以恶小而为之	qngp
勿以善小而不为	qnpl
解铃还须系铃人	qqgw
急急如丧家之犬	qqvd
乱拳打死老师傅	qxrw
打破砂锅问到底	rddo
打破沙锅问到底	rdio
打开天窗说亮话	regy
打下了坚实基础	rgbd
挟天子以令诸侯	rgbw
近水楼台先得月	rhse
抬头不见低头见	rigm
失败是成功之母	rmjx
我辈岂是蓬蒿人	rmmw
打遍天下无敌手	rogc
拒人于千里之外	rwfq
批评与自我批评	ryqy
批评和自我批评	ryty
桃花盛开的地方	sapp
梅花香自苦寒来	satx
桃花依旧笑春风	sawn
西出阳关无故人	sbbw
莫待无花空折枝	shfs
柳暗花明又一村	sjas
中国社会科学院	slob
树欲静而风不止	smgc
中央政治局会议	smgy
醉翁之意不在酒	smpi
横看成岭侧成峰	smpm
中华人民共和国	smwl
可怜天下父母心	sngn
暮色苍茫看劲松	sqas
中共中央政治局	srsn
中共中央总书记	srsy
横挑鼻子竖挑眼	srth
枪杆子里出政权	ssbs
莫愁前路无知己	stul
莫管他人瓦上霜	stwf
吾将上下而求索	suhf
Surface	sure
忠言逆耳利于行	syuh
自古英雄出少年	tdaa
第二次世界大战	tfkv
第一次世界大战	tgkv
TOSHIBA	tosa
条条大路通罗马	ttdc
想想雷锋董存瑞	ttfg
相逢一笑泯恩仇	ttgw
想想长征两万五	tths
相逢何必曾相识	ttwy
逢人且说三分话	twey
自缘身在最高层	txyn
壮志未酬身先死	uffb
门泊东吴万里船	uiae
前浪死在沙滩上	uibh
问渠哪得清如许	uiky
剃头挑子一头热	uirh
问题的关键在于	ujkf
Unicode	unie
冲冠一怒为红颜	upgu
新官上任三把火	upho
六宫粉黛无颜色	upoq
站着说话不腰疼	upyu
病树前头万木春	usud
新加坡国立大学	uvfi
问君能有几多愁	uvjt
九年制义务教育	valy
君子动口不动手	vbcc
君子不夺人所好	vbgv
君子以厚德载物	vbnn
半殖民地半封建	vbnw
君子之交淡如水	vbph
好马不吃回头草	vcga
独在异乡为异客	vdlp
退一步海阔天空	vgcp
忍一时风平浪静	vgjg
早睡早起身体好	vhvv
好汉不提当年勇	vigc
狗嘴吐不出象牙	vkkr
如烟往事俱忘却	vohl
占着茅坑不拉屎	vpan
好钢用在刀刃上	vqeh
犹抱琵琶半遮面	vrgd
磨刀不误砍柴工	vvga
偷鸡不成蚀把米	wcgo
人靠衣装马靠鞍	weyq
仰天大笑出门去	wgdl
低头不见抬头见	wigm
Windows	wins
倒吸了一口冷气	wkbe
人怕出名猪怕壮	wnbu
何事西风悲画扇	wnso
何事秋风悲画扇	wnto
人情练达即文章	wnxx
人类基因组计划	wohx
人生若只如初见	wpam
拿着鸡毛当令箭	wpct
人生自古谁无死	wptb
人生何处不相逢	wpwt
倒抽了一口冷气	wrbe
使我不得开心颜	wrgu
伤筋动骨一百天	wtcg
人逢喜事精神爽	wtfd
人间正道是沧桑	wugc
众里寻他千百度	wuvl
众人拾柴火焰高	wwrh
人贵有自知之明	wxej
来而不往非礼也	xdgm
母行万里儿不愁	xhgt
经济技术开发区	xira
给我们上了一课	xrwy
强中更有强中手	xsgc
每逢佳节倍思亲	xtwu
良药苦口利于病	yaau
就在沉默中灭亡	ydiy
身在福中不知福	ydoo
身正不怕影子斜	yggw
语不惊人死不休	ygnw
话不投机半句多	ygrq
衣食足而知荣辱	yhld
识时务者为俊杰	yjts
计算机信息管理	ytsg
望帝春心托杜鹃	yudk
让人欢喜让人忧	ywcn
功夫不负有心人	aagw2
从某种意义上讲	aaty2
从这个意义上讲	acoy2
夫妻本是同林鸟	agjq2
黄河之水天上来	aipx2
Android	andd2
落红不是无情物	axgn2
死马当作活马医	bcia2
死马当做活马医	bcia3
随着时间的流逝	bpjr2
初生牛犊不怕虎	bpph2
死要面子活受罪	bsdl2
死猪不怕开水烫	bvgi2
马克思列宁主义	cdly2
马克思主义理论	cdly3
知其不可而为之	chgp2
举杯浇愁愁更愁	csit2
劝君更进一杯酒	cvgi2
鸡蛋里面挑骨头	cwui2
鸡蛋里头挑骨头	cwui3
大难来临各自飞	dcxn2
三国两晋南北朝	dlek2
大祸临头各自飞	dojn2
春来江水绿如蓝	dxia2
两耳不闻窗外事	ebgn2
脱氧核糖核苷酸	eess2
胜者王侯败者贼	efgm2
胜者为王败者贼	eflm2
有过之而无不及	efpe2
胜败乃兵家常事	emen2
无规矩不成方圆	facl2
于无声处听惊雷	ffff4
你走你的阳关道	fkfq2
墙内开花墙外香	fmet2
远近高低各不同	frhm2
赤橙黄绿青蓝紫	fsac2
无可奈何花落去	fsdl3
未可全抛一片心	fson2
不到黄河心不死	gaab2
一切从实际出发	gaah2
一年之计在于春	gapd2
一石激起千重浪	gdii2
现代化建设事业	ghho2
一代新人换旧人	ghuw2
天涯何处无芳草	giwa2
一山还有一山高	gmgh5
不见棺材不落泪	gmsi2
一心只读圣贤书	gnkh2
一个巴掌拍不响	gojk2
天生一个仙人洞	gpgi2
天生我材必有用	gpre2
天生我才必有用	gpre3
不患寡而患不安	gspp2
一弦一柱思华年	gxga2
虎落平阳被犬欺	hafh3
长太息以掩涕兮	hdtm2
很小的时候挥发	hikh2
旧时王谢堂前燕	hjga2
化做春泥更护花	hwda2
没有硝烟的战争	iedq2
没有不透风的墙	iegf2
没有不散的筵席	iegl2
没有免费的午餐	ielh2
小不忍则乱大谋	igvy2
ISO9003	isod2
ISO9002	isof2
ISO9001	isog3
澳门特别行政区	iuna2
日出江花红胜火	jbio2
敞开天窗说亮话	jegy2
最高人民检察院	jhwb2
党和国家领导人	jtlw2
白玉为堂金做马	kblc2
虽不中亦不远矣	kgsc2
资产阶级自由化	kubh2
只羡鸳鸯不羡仙	kuqw3
轻舟已过万重山	lelm2
路漫漫其修远兮	liim2
置之死地而后生	lpbp3
国家安全委员会	lppo2
男儿有泪不轻弹	lqex2
为伊消得人憔悴	lwin2
Maxthon	maxn2
山雨欲来风满楼	mmms2
山穷水尽疑无路	mphl2
粪土当年万户侯	ofiw2
烂泥巴扶不上墙	oijf2
OneNote	onee2
社会达尔文主义	oody2
窗含西岭千秋雪	pdsf2
成者王侯败者贼	pfgm2
守得云开见月明	phcj2
宝剑锋从磨砺出	pwqb2
名不正则言不顺	qggj3
我过我的独木桥	rfrs3
我走我的独木桥	rkrs2
挖社会主义墙角	rooq2
打狗还得看主人	rvgw2
打狗还要看主人	rvgw3
抽刀断水水更流	rvoi2
中国人民解放军	slwp2
中华全国总工会	smoo2
“五个一工程”	sogt2
透过现象看本质	tfgr3
香港特别行政区	tina2
想想长征二万五	tths2
想想革命老前辈	ttqm2
竹篮打水一场空	ttrp2
想想红军两万五	ttxs2
想想红军二万五	ttxs3
好死不如赖活着	vbgp2
君子以自强不息	vbnt2
狭路相逢勇者胜	vlte2
好心当成驴肝肺	vnie3
磨刀不误砍柴功	vvga2
偷鸡不着蚀把米	wcgo2
人面不知何处去	wdgl2
借酒浇愁愁更愁	wiit3
借酒消愁愁更愁	wiit4
借酒销愁愁更愁	wiqt2
人民英雄纪念碑	wnad2
人心不足蛇吞象	wngl2
人类智慧的结晶	wocj2
仓廪实而知礼节	wopa2
休管他人瓦上霜	wtwf3
假作真时真亦假	wwfw2
仓禀实而知礼节	wypa3
强龙不压地头蛇	xdgj2
“经济身份证”	xiyy2
强中自有强中手	xstc2
该出手时就出手	ybcc2
身在曹营心在汉	ydei2
就在沉默中死亡	ydiy2
就在沉默中消亡	ydiy3
深化改革开放	i9
深入贯彻落实	i0
公司管理模式	mn8
人民生活水平	wn4
企业管理模式	wo8
匹夫不可夺志	aagf
从某种意义上	aath
Access	accs
从这个意义上	acoh
从这种意义上	acth
英雄所见略同	adlm
英雄莫问出处	adst
七大姑八大姨	advv
工商行政管理	aehg
落后就要挨打	afyr
苛政猛于虎也	agvm
哥德巴赫猜想	ahjt
哥只是个传说	akjy
茫然不知所措	aqgr
从中央到地方	asmp
工程技术人员	atrk
东北师范大学	auji
从整体上来说	auwy
辩证唯物主义	ayky
陈芝麻烂谷子	bavb
巾帼不让须眉	bbgn
死马当活马医	bcia
死无葬身之地	bfaf
出淤泥而不染	biii
阿喀琉斯之踵	bkgl
陈谷子烂芝麻	bmbv
阿那克萨哥拉	bodr
金融服务水平	bref
金融衍生工具	brhe
金融衍生产品	brhk
耳闻不如目见	bugm
阿姆斯状大学	bvhi
联合国安理会	bwlo
驴唇不对马嘴	cdgk
马克思主义者	cdlf
鸡犬之声相闻	cdpu
动脉粥样硬化	cexh
手无缚鸡之力	cfxl
此一时彼一时	cgjj
海水不可斗量	chgj
Chrome	choe
马雅可夫斯基	crsh
这样一个问题	csgj
又好又快发展	cvcn
又好气又好笑	cvet
鸡蛋里挑骨头	cwui
骄傲使人落后	cwwf
知来者之可追	cxft
这就是为什么	cyjo
知识就是力量	cyyj
在某种程度上	dath
面向县域经济	dbei
面向中小企业	dbso
在这个情况下	dcog
在这个意义上	dcoh
在这个过程中	dcos
在这种情况下	dctg
在这种意义上	dcth
三步并作两步	dcuc
顾左右而言它	ddtp
顾左右而言他	ddtw
三月不知肉味	degk
Delete	dele
delphi	deli
大开方便之门	depu
三寸不烂之舌	dfgq
在一定程度上	dgph
在很大程度上	dhdh
今日事今日毕	djna
破题儿第一遭	djqe
历史最高水平	dkjf
历史的耻辱柱	dkks
历史唯物主义	dkky
百思不得其解	dlgq
达累斯萨拉姆	dlhv
大国沙文主义	dliy
太岁头上动土	dmif
百分之九十九	dmpv
达则兼济天下	dmug
大礼不辞小让	dogy
避之唯恐不及	dpke
胡锦涛总书记	dqiy
三句不离本行	dsgh
百闻不如一见	dugm
令人叹为观止	dwkc
友谊地久天长	dyfh
有限责任公司	ebgn
胜造七级浮屠	eean
脱氧核糖核酸	eess
有志者事竟成	effp
有志不在年高	efgh
胜不骄败不馁	egch
有一搭没一搭	egrr
有眼不识泰山	ehgm
两次世界大战	ekkv
E-mail	emal
先富带动后富	epmp
有着重要意义	epqy
先锋模范作用	eqse
股份有限公司	ewen
老死不相往来	fbgx
求大同存小异	fdml
雷声大雨点小	ffdi
二者不可得兼	ffgu
远水难解近渴	fhci
远水不解近渴	fhgi
二次世界大战	fkkv
无所不用其极	flgs
你应该知道的	foyk
地方保护主义	fpmy
吉尔吉斯斯坦	fqff
需要注意的是	fsij
士可杀不可辱	fsjd
过五关斩六将	fssu
无产阶级专政	fubg
远亲不如近邻	fugd
增益其所不能	fuhj
城市商业银行	fveh
喜怒不形于色	fvgq
求人不如求己	fwgl
吉人自有天相	fwtt
一年365天	gadg
一切都有可能	gafj
GB2312	gbff
不知天高地厚	gcgd
一动不如一静	gcgg
一步一个脚印	gcgs
不知道为什么	gcqo
不知鹿死谁手	gcsc
不知如何是好	gcvv
不知说什么好	gcyv
一而再再而三	gdkd
一二三四五六	gfdu
晋城市统计局	gfvn
天无绝人之路	gfxl
万万没有想到	ggia
天不怕地不怕	ggnn
一发不可收拾	ghgr
一是一二是二	gjgf
亚的斯亚贝巴	gkhj
一去不复返了	glgb
不足为外人道	gllq
一回生二回熟	glpy
不分青红皂白	gmgk
一分钱一分货	gmqh
不惜一切代价	gngw
政府工作报告	goae
一个都不能少	gofi
Google	gooe
一个鼻孔出气	gote
更重要的因素	gqsg
更重要的原因	gqsl
天机不可泄漏	gsgi
不可同日而语	gsmy
不可以道里计	gsny
不自由毋宁死	gtnb
不如退而结网	gvvm
不登大雅之堂	gwdj
一传十十传百	gwfd
责人之心责己	gwpl
不费一兵一卒	gxgy
不费吹灰之力	gxkl
理论联系实际	gybb
不许百姓点灯	gydo
上海师范大学	hcji
上海交通大学	hcui
上海合作组织	hcwx
基础设施建设	hdyy
上有老下有小	hefi
上气不接下气	hege
斯堪的纳维亚	hfkg
化干戈为玉帛	hfxk
睁一眼闭一眼	hghh
眼不见心不烦	hgmo
行政事业单位	hgnw
高不成低不就	hgpy
很长一段时间	hhgu
食其肉寝其皮	hhmh
盼星星盼月亮	hjjh
发思古之幽情	hldn
化悲痛为力量	hmuj
发展规划纲要	hnas
往事不堪回首	hngq
发展是硬道理	hnjg
虚心使人进步	hnwc
化腐朽为神奇	hosd
很重要的因素	hqsg
很重要的原因	hqsl
行拂乱其所为	hrql
高标准严要求	hsuf
长效工作机制	hual
长痛不如短痛	hugu
高级管理人员	hxtk
南京师范大学	hyji
浦东发展银行	iahh
学而不思则罔	idgm
觉今是而昨非	idjm
当面锣对面鼓	idqf
肖斯塔科维奇	ihfd
濯清涟而不妖	iiiv
Insert	inst
少数服从多数	ioeo
iPhone	iphe
小额信用贷款	ipwf
劣币驱逐良币	itct
深入学习贯彻	itih
省委、省政府	itio
iTunes	itus
消息灵通人士	itvf
省级文明单位	ixcw
杀出一条血路	jbgl
杀了个回马枪	jbos
电子银行业务	jbqt
杀鸡焉用牛刀	jcgv
最高人民法院	jhwb
党风廉政建设	jnoy
巴塞尔委员会	jpqo
果然不出所料	jqgo
最重要的因素	jqsg
最重要的原因	jqsl
明人不做暗事	jwgn
明人不说暗话	jwgy
唯恐天下不乱	kagq
起死人肉白骨	kbwx
口惠而实不至	kgda
光天化日之下	kghg
吃一堑长一智	kglc
资本主义阵营	kjba
资本主义制度	kjbl
资本主义国家	kjbp
世界文化遗产	klcu
世界先进水平	klef
世界卫生组织	klnx
世界贸易组织	klqx
世界自然遗产	kltu
吃香的喝辣的	ktkk
资产阶级革命	kubw
只许州官放火	kyjo
四项基本原则	lahm
国际金融危机	lbbs
男子汉大丈夫	lbia
逸豫可以亡身	lcsy
国有商业银行	leeh
lenovo	leno
为万世开太平	lgkf
异曲同工之处	lkmt
异曲同工之妙	lkmv
国内生产总值	lmpw
所以动心忍性	lncn
国民生产总值	lnpw
国民经济发展	lnxn
国家资本主义	lpky
国家体育总局	lpwn
改革开放以后	lqef
改革开放以来	lqex
改革发展稳定	lqhp
为五斗米折腰	lswe
思想政治工作	ltgw
思想道德建设	ltqy
曾益其所不能	luhj
轻伤不下火线	lwgx
团结就是力量	lxyj
内蒙古自治区	mada
山东师范大学	maji
同年同月同日	mamj
看不见摸不着	mgmp
山代有人才出	mheb
华南师范大学	mhji
网上银行业务	mhqt
乔治·华盛顿	miub
同呼吸共命运	mkkc
非公有制经济	mmei
八杆子打不着	msbp
华中科技大学	msti
八竿子打不着	mtbp
惟恐天下不乱	nagq
忧劳可以兴国	nasl
民主社会主义	nboy
心动不如行动	ncgc
风马牛不相及	ncpe
必先苦其心志	neaf
几十年如一日	nfaj
迅雷不及掩耳	nfgb
心理承受能力	ngbl
惊天地泣鬼神	ngfo
以天下为己任	nggw
以不变应万变	ngpp
邮政储蓄银行	ngwh
惶惶不可终日	nngj
悟以往之不谏	nnhy
以事实为依据	nnpr
民族区域自治	npai
事实胜于雄辩	npea
民族资产阶级	npkx
