啊	a_
咔	ka2
考	kc2
看到	kd2
课	ke2
垦	kf2
吭	kg2
坎	kj2
狂	kl2
阔	ko2
恐	ks2
枯	ku2
窥	kv2
跨	kx2
捆	ky2
烤	kc3
诳	kl3
魁	kv3
可以	ky3
寇	kz3
拉	la_
林	lb_
老	lc_
来	ld_
乐	le_
冷	lg_
浪	lh_
里	li_
另	lk_
两	ll_
连	lm_
料	ln_
落	lo_
列	lp_
刘	lq_
乱	lr_
龙	ls_
路	lu_
率	lv_
类	lw_
论	ly_
楼	lz_
联系	lx_
掠	lt_
了解	lj_
浪费	lf_
链接	lj2
略	lt2
啦	la2
临	lb2
捞	lc2
勒	le2
愣	lg2
狼	lh2
理	li2
令	lk2
量	ll2
脸	lm2
聊	ln2
罗	lo2
裂	lp2
隆	ls2
论坛	lt3
陆	lu2
绿	lv2
练习	lx2
轮	ly2
漏	lz2
腊	la3
麟	lb3
嘞	le3
裸	lo3
吗	ma_
民	mb_
毛	mc_
买	md_
么	me_
们	mf_
梦	mg_
忙	mh_
米	mi_
慢	mj_
名	mk_
面	mm_
秒	mn_
莫	mo_
灭	mp_
目	mu_
每	mw_
某	mz_
没有	my_
目前	mq_
明显	mx_
美丽	ml_
明天	mt_
明知	mv_
貌似	ms_
默认	mr_
慢慢	mm2
每天	mt2
面前	mq2
摸	mo2
骂	ma2
媒	mw2
卯	mc2
卖	md2
门	mf2
猛	mg2
迷	mi2
曼	mj2
明	mk2
妙	mn2
木	mu2
谋	mz2
萌	mg3
蜜	mi3
眸	mz3
您	nb_
那	na_
闹	nc_
呢	ne_
嫩	nf_
能	ng_
囊	nh_
泥	ni_
难	nj_
宁	nk_
年	nm_
鸟	nn_
挪	no_
捏	np_
牛	nq_
暖	nr_
弄	ns_
虐	nt_
努	nu_
女	nv_
内	nw_
努力	nl_
那些	nx_
那样	ny_
乃	nd_
脑子	nz_
耐	nd2
怒	nu2
浓	ns2
娜	na2
难道	nd3
呐	ne2
恁	nf2
囔	nh2
逆	ni2
男	nj2
拧	nk2
尿	nn2
娜	no2
摄	np2
妞	nq2
疟	nt2
馁	nw2
讷	ne3
媆	nf3
聂	np3
嗯	og_
喔	oo_
欧	ou_
欧洲	ov_
偶尔	oe_
偶然	or_
偶像	ox_
欧阳	oy_
殴打	od_
呕吐	ot_
破	op_
婆	op2
偶	ou2
魄	op3
藕	ou3
朋友	py_
怕	pa_
品	pb_
跑	pc_
排	pd_
盆	pf_
碰	pg_
旁	ph_
批	pi_
盘	pj_
凭	pk_
片	pm_
票	pn_
破	po_
瞥	pp_
普	pu_
配	pw_
剖	pz_
培训	px_
平台	pt_
配置	pv_
漂亮	pl_
脾气	pq_
配送	ps_
普洱	pe_
骗人	pr_
撇	pp2
拼	pb2
泡	pc2
派	pd2
喷	pf2
捧	pg2
胖	ph2
皮	pi2
评	pk2
骗	pm2
婆	po2
扑	pu2
裴	pw2
魄	po3
佩	pw3
亲	qb_
其	qi_
请	qk_
强	ql_
前	qm_
桥	qn_
且	qp_
求	qq_
全	qr_
穷	qs_
却	qt_
取	qu_
恰	qx_
群	qy_
情	qk2
其中	qv_
确定	qd_
期间	qj_
缺乏	qf_
其次	qc_
千万	qw_
钱	qm2
亲自	qz_
奇怪	qg_
全额	qe_
切换	qh_
邱	qq2
其实	qu2
弃	qi2
确	qt2
勤	qb2
情况	qk3
墙	ql2
前面	qm3
乔	qn2
切	qp2
恰恰	qq3
权	qr2
琼	qs2
裙	qy2
怯	qp3
绕	rc_
热	re_
任	rf_
仍	rg_
让	rh_
日	ri_
然	rj_
若	ro_
软	rr_
容	rs_
如	ru_
柔	rz_
日期	rq_
认为	rw_
日本	rb_
热线	rx_
锐	rv_
人们	rm_
容易	ry_
人类	rl_
认可	rk_
热爱	ra_
认同	rt_
热闹	rn_
人品	rp_
认得	rd_
阮	rr2
任务	rw2
瑞	rv2
肉	rz2
惹	re2
忍	rf2
扔	rg2
饶	rc2
燃	rj2
弱	ro2
仍然	rr3
融	rs2
乳	ru2
认真	rv3
偌	ro3
绒	rs3
撒	sa_
扫	sc_
赛	sd_
色	se_
森	sf_
僧	sg_
思	si_
散	sj_
所	so_
算	sr_
送	ss_
苏	su_
岁	sv_
搜	sz_
什么	sm_
所以	sy_
思想	sx_
思考	sk_
所谓	sw_
丧	sh_
随便	sb_
索取	sq_
算了	sl_
索赔	sp_
随你	sn_
洒脱	st_
虽然	sr2
宋	ss2
虽	sv2
塞	sd2
死	si2
桑	sh2
洒	sa2
速度	sd3
涩	se2
似乎	sh3
伞	sj2
缩	so2
搜索	ss3
俗	su2
随着	sv3
艘	sz2
啬	se3
团	tr_
塌	ta_
套	tc_
太	td_
特	te_
腾	tg_
汤	th_
体	ti_
谈	tj_
听	tk_
天	tm_
条	tn_
托	to_
贴	tp_
彖	tr2
同	ts_
图	tu_
推	tv_
头	tz_
弹	tj2
偷	tz2
特别	tb_
讨论	tl_
吞	ty_
台湾	tw_
同学	tx_
天气	tq_
天天	tt_
淘汰	tt2
头发	tf_
台	td2
塔	ta2
挑	tn2
统一	ty2
淘	tc2
疼	tg2
替	ti2
舔	tm2
通	ts2
退	tv2
推倒	td3
忒	te2
淌	th2
推荐	tj3
停	tk2
拖	to2
铁	tp2
土	tu2
投资	tz3
拓	ta3
忑	te3
塘	th3
帖	tp3
凸	tu3
视频	up_
首先	ux_
啥	ua_
少	uc_
晒	ud_
设	ue_
深	uf_
生	ug_
上	uh_
时	ui_
山	uj_
帅	uk_
双	ul_
说	uo_
拴	ur_
数	uu_
水	uv_
谁	uw_
顺	uy_
受	uz_
事情	uq_
身体	ut_
上面	um_
顺便	ub_
神似	us_
熟能生巧	un_
什	uf2
商	uh2
书	uu2
世纪	uj2
声	ug2
使	ui2
手	uz2
杀	ua2
稍	uc2
筛	ud2
射	ue2
束缚	uf3
伤害	uh3
率	uk2
爽	ul2
硕	uo2
栓	ur2
术	uu3
睡	uv2
舜	uy2
邵	uc3
朔	uo3
试试	uu4
扎	va_
找	vc_
着	ve_
真	vf_
正	vg_
长	vh_
只	vi_
占	vj_
拽	vk_
装	vl_
捉	vo_
转	vr_
中	vs_
主	vu_
追	vv_
抓	vx_
周	vz_
直	vi2
准	vy_
知道	vd_
掌握	vw_
准备	vb_
坠	vv2
只能	vn_
正确	vq_
这么	vm_
折腾	vt_
只怕	vp_
追求	vq2
爪	vx2
直到	vd2
针	vf2
桌	vo2
这样	vy2
照	vc2
整	vg2
战	vj2
种	vs2
炸	va2
者	ve2
政府	vf3
症	vg3
张	vh2
支持	vi3
状	vl2
专	vr2
住	vu2
真正	vv3
这些	vx3
渣	va3
赚	vr3
唯一	wy_
挖	wa_
外	wd_
问	wf_
翁	wg_
王	wh_
完	wj_
握	wo_
无	wu_
为	ww_
我们	wm_
问题	wt_
完成	wi_
为了	wl_
完全	wq_
文字	wz_
无线	wx_
完美	wm2
微软	wr_
为此	wc_
无奈	wn_
为止	wv_
玩儿	we_
五笔	wb_
唯恐	wk_
网盘	wp_
猥琐	ws_
微信	wx2
歪	wd2
文	wf2
望	wh2
玩	wj2
未	ww2
瓦	wa2
味道	wd3
嗡	wg2
窝	wo2
武	wu2
寻找	xv_
新	xb_
系	xi_
行	xk_
想	xl_
先	xm_
笑	xn_
些	xp_
修	xq_
选	xr_
熊	xs_
学	xt_
需	xu_
下	xx_
现在	xz_
选择	xz2
需要	xy_
学习	xx2
希望	xw_
喜欢	xh_
西安	xa_
相当	xd_
现	xm2
习惯	xg_
相反	xf_
现金	xj_
下次	xc_
西欧	xo_
险恶	xe_
修正	xv2
修改	xg2
心	xb2
型	xk2
凶	xs2
喜	xi2
向	xl2
消	xn2
写	xp2
秀	xq2
轩	xr2
削	xt2
许	xu2
下面	xm3
云	yy_
一下	yx_
亚	ya_
因	yb_
要	yc_
也	ye_
样	yh_
以	yi_
眼	yj_
应	yk_
哟	yo_
元	yr_
用	ys_
月	yt_
与	yu_
由于	yy2
有	yz_
要求	yq_
一定	yd_
因为	yw_
应该	yg_
一直	yv_
悠闲	yx2
云南	yn_
原来	yl_
一片	yp_
缘分	yf_
郁闷	ym_
与其	yq2
引	yb2
业	ye2
羊	yh2
严	yj2
原	yr2
友	yz2
呀	ya2
耀	yc2
意	yi2
影	yk2
唷	yo2
永	ys2
越	yt2
语	yu2
以为	yw2
自己	zj_
扎	za_
早	zc_
再	zd_
则	ze_
怎	zf_
增	zg_
藏	zh_
字	zi_
做	zo_
总	zs_
组	zu_
最	zv_
贼	zw_
走	zz_
在线	zx_
作品	zp_
钻	zr_
怎么	zm_
尊	zy_
昨天	zt_
走了	zl_
暂且	zq_
怎能	zn_
咋不	zb_
最快	zk_
棕	zs2
杂	za2
攥	zr2
怎样	zy2
遭	zc2
邹	zz2
坐	zo2
砸	za3
哉	zd2
责	ze2
谮	zf2
赠	zg2
自	zi2
自然	zr3
总算	zs3
足	zu2
嘴	zv2
揍	zz3
栽	zd3
择	ze3
憎	zg3
资	zi3
卒	zu3
第一	dy2
管理	gl2
出来	il2
看看	kk2
牛逼	nb2
“	oz_
”	oc_
突然	tr3
实现	ux2
玩意	wy2
优秀	yx3
一个	yg2
再见	zj2
；	;;
！	;a
%	;b
”	;c
、	;d
《	;e
·	;g
-	;h
{	;i
（	;j
）	;k
’	;m
‘	;n
}	;o
；	;q
》	;r
……	;s
=	;t
——	;v
？	;w
/	;x
<	;y
“	;z
㎡	;p
>	;u
腌	aao_
吖	aak_
阿	aae_
盎	ahy_
肮	aho_
唉	aik_
艾	aic_
挨	aif_
埃	ait_
矮	aiu_
哀	aiw_
癌	aib_
暧	aio_
嫒	ain_
隘	aie_
霭	aiy_
爱	aip_
按	anf_
盦	anr_
案	anb_
暗	ano_
岸	ane_
庵	ang_
氨	anq_
黯	anh_
谙	any_
铵	anj_
桉	anm_
鹌	and_
熬	aof_
傲	aor_
澳	aod_
嗷	aok_
袄	aop_
凹	aol_
坳	aot_
翱	aob_
懊	aox_
遨	aoz_
鏖	aog_
欸	ais_
锕	aaj_
卬	ahp_
锿	aij_
唵	ank_
埯	ant_
𩽾	ana_
媪	aon_
璈	aow_
岙	aoy_
奡	aoa_
隩	aoe_
按道理	adl_
嶅	aof2
八	bap_
巴	bav_
爸	bab_
罢	bas_
霸	bay_
拔	baf_
坝	bat_
芭	bac_
靶	bag_
耙	bal_
跋	baz_
粑	bam_
钯	baj_
灞	bad_
鲅	baa_
斌	bbw_
宾	bbb_
彬	bbm_
鬓	bba_
濒	bbd_
缤	bbs_
摈	bbf_
膑	bbo_
镔	bbj_
包	bcb_
保	bcr_
抱	bcf_
爆	bch_
暴	bco_
薄	bcc_
豹	bcv_
龅	bcv2
饱	bcu_
鲍	bca_
剥	bce_
瀑	bcd_
褒	bcw_
雹	bcy_
孢	bcz_
褓	bcp_
百	bda_
拜	bdu_
败	bdk_
柏	bdm_
佰	bdr_
稗	bdh_
奔	bfd_
苯	bfc_
锛	bfj_
本	bfa_
坌	bfb_
崩	bge_
泵	bgu_
甭	bgb_
嘣	bgk_
绷	bgs_
蚌	bgi_
迸	bgz_
镚	bgj_
祊	bgp_
棒	bhm_
邦	bhf_
绑	bhs_
磅	bhu_
傍	bhr_
镑	bhj_
蚌	bhi_
浜	bhd_
膀	bho_
谤	bhy_
蒡	bhc_
必	bid_
笔	biv_
币	bip_
碧	biw_
彼	bii_
避	biz_
壁	biu_
闭	bim_
毙	bib_
蔽	bic_
鄙	bik_
俾	bir_
婢	bin_
庇	big_
陛	bie_
铋	bij_
纰	bis_
璧	biu2
版	bjp_
般	bjv_
半	bjd_
班	bjw_
板	bjm_
搬	bjf_
伴	bjr_
瓣	bjl_
颁	bjb_
坂	bjt_
绊	bjs_
阪	bje_
病	bkb_
冰	bkd_
饼	bku_
丙	bka_
炳	bkh_
秉	bkp_
柄	bkm_
禀	bkw_
摒	bkf_
便	bmr_
变	bmw_
遍	bmz_
编	bms_
扁	bmh_
煸	bmh2
辩	bml_
辨	bml2
鞭	bmg_
贬	bmk_
砭	bmu_
汴	bmd_
苄	bmc_
鳊	bma_
标	bnm_
婊	bnn_
彪	bnh_
飙	bnq_
镖	bnj_
膘	bno_
裱	bnp_
波	bod_
博	bou_
伯	bor_
薄	boc_
柏	bom_
播	bof_
卜	bol_
嶓	boe_
玻	bow_
钵	boj_
帛	bob_
跛	boz_
膊	boo_
鲌	boa_
剥	bov_
憋	bpd_
瘪	bpb_
别	bpk_
不	bua_
布	buu_
补	bup_
步	buv_
堡	bur_
捕	buf_
卜	bul_
埠	but_
钚	buj_
怖	bux_
哺	buk_
逋	buz_
倍	bwr_
北	bwl_
呗	bwk_
杯	bwm_
悲	bwf_
备	bww_
碑	bwu_
卑	bwp_
蓓	bwc_
焙	bwh_
悖	bwx_
陂	bwe_
钡	bwj_
狈	bwq_
鸨	bcb2
犇	bfn_
薜	bic2
睥	bio_
啵	bok_
岜	bae_
妭	ban_
胈	bao_
豳	bbe_
髌	bbg_
傧	bbr_
畚	bfs_
栟	bfm_
堋	bgt_
琫	bgw_
𠳐	bhk_
玤	bhw_
塝	bht_
秕	bih_
畀	bit_
愎	bix_
狴	biq_
诐	biy_
鲾	bia_
昺	bko_
蛃	bki_
褊	bmp_
保密性	bmx_
抃	bmf_
昪	bmo_
鳔	bna_
俵	bnr_
瘭	bnb_
蔈	bnc_
馞	boh_
晡	buo_
蔀	buc_
不安全	baq_
把守	bau_
把玩	baw_
把戏	bax_
八百里	bbl_
报仇	bci_
宝剑	bcj_
不错了	bcl_
报幕	bcm_
保鲜	bcx_
不得不	bdb_
不对劲	bdj_
帮倒忙	bdm2
拜年	bdn_
摆脱	bdt_
本单位	bdw_
北斗星	bdx_
不等于	bdy_
半吊子	bdz_
博而不精	beb_
不服气	bfq_
百分之	bfv_
不合理	bhl_
不和谐	bhx_
不扯了	bil_
半成品	bip2
笔记本	bjb2
不及格	bjg_
比较好	bjh_
不仅仅	bjj_
不久前	bjq_
北京市	bju_
百家姓	bjx_
不经意	bjy_
败家子	bjz_
不客气	bkq_
不可以	bky_
不论是	blu_
伯利兹	blz_
不明白	bmb_
闭门羹	bmg2
编程	bmi_
辩解	bmj_
便签	bmq_
编织	bmv_
忭	bmx2
并没有	bmy_
不满意	bmy2
表哥	bng_
白内障	bnv_
博学	box_
波音	boy_
不排除	bpi_
憋屈	bpq_
不怕死	bps_
白皮书	bpu_
不求甚解	bqu_
不起眼	bqy_
白日飞升	brf_
白热化	brh_
比如说	bru_
不认账	brv_
必然性	brx_
不死不活	bsb_
别提了	btl_
不听劝	btq_
不太像	btx_
不舒服	buf2
不适合	buh_
不是吗	bum_
补全	buq_
不失为	buw_
醭	buy_
不着边际	bvb_
标准化	bvh_
不指望	bvw_
不至于	bvy_
背部	bwb_
博物馆	bwg_
保卫战	bwv_
杯子	bwz_
便携版	bxb_
不幸而言中	bxe_
半小时	bxu_
不小心	bxx_
贬义词	byc_
不允许	byx_
不一样	byy_
不在意	bzy_
哱	bak_
趵	bcz2
捭	bdf_
倴	bfr_
坋	bft_
贲	bfu_
昄	bjo_
铂	boj2
箔	bov2
不适应	buy2
不知道	bvd_
飚	bnj2
嚓	cak_
拆	caf_
操	ccf_
曹	cca_
槽	ccm_
嘈	cck_
漕	ccd_
𥕢	ccu_
才	cda_
踩	cdz_
蔡	cdc_
财	cdk_
采	cdp_
猜	cdq_
材	cdm_
裁	cdu_
睬	cdo_
侧	cer_
册	cep_
策	cev_
栅	cem_
厕	cei_
恻	cex_
测	ced_
参	cfs_
涔	cfd_
岑	cfe_
层	cgu_
蹭	cgz_
噌	cgk_
曾	cgb_
仓	chr_
苍	chc_
舱	chv_
沧	chd_
雌	civ_
词	ciy_
刺	cia_
赐	cik_
慈	cib_
茨	cic_
辞	ciq_
瓷	cid_
磁	ciu_
祠	cip_
伺	cir_
糍	cim_
残	cjd_
惨	cjx_
餐	cjl_
灿	cjh_
掺	cjf_
蚕	cjt_
璨	cjw_
孱	cju_
搓	cof_
厝	coi_
锉	coj_
蹉	coz_
痤	cob_
嵯	coe_
莝	coc_
攒	crf_
蹿	crz_
篡	crv_
窜	crb_
葱	csc_
丛	csr_
聪	cse_
琮	csw_
淙	csd_
匆	csb_
骢	csm_
囱	csp_
醋	cuy_
促	cur_
卒	cuw_
簇	cuv_
蹙	cua_
猝	cuq_
蹴	cuz_
粗	cum_
崔	cve_
翠	cvx_
脆	cvo_
摧	cvf_
萃	cvc_
粹	cvm_
淬	cvd_
啐	cvk_
璀	cvw_
瘁	cvb_
催	cvr_
存	cyu_
寸	cya_
皴	cys_
忖	cyx_
村	cym_
辏	czi_
螬	cci_
艚	ccv_
嶒	cge_
玱	chw_
跐	ciz_
骖	cjm_
矬	cou_
鹾	col_
脞	coo_
酂	con_
镩	crj_
爨	crp_
汆	crr_
熜	csh_
悰	csx_
蔟	cuc_
殂	cud_
徂	cui_
缞	cvs_
邨	cyt_
腠	czo_
彩蛋	cdd_
采风	cdf_
猜忌	cdj_
彩礼	cdl_
伺候	cih_
餐馆	cjg_
残局	cjj_
惨死	cjs_
测试版	cub_
侧重于	cvy_
存管	cyg_
肏	ccr_
毳	cvm2
搭	daf_
达	daz_
笪	dav_
垯	dat_
嗒	dak_
沓	dau_
瘩	dab_
靼	dag_
怛	dax_
耷	dad_
褡	dap_
鞑	dag2
蹈	dcz_
倒	dcr_
刀	dcv_
岛	dcp_
导	dcs_
盗	dcd_
捣	dcf_
稻	dch_
叨	dck_
悼	dcx_
氘	dcq_
带	ddf_
待	ddi_
戴	ddu_
呆	ddk_
袋	ddr_
逮	ddz_
歹	dda_
怠	dds_
殆	ddd_
棣	ddm_
诒	ddy_
玳	ddw_
地	det_
德	dei_
灯	dgh_
邓	dgy_
登	dgv_
瞪	dgo_
蹬	dgz_
噔	dgk_
嶝	dge_
磴	dgu_
澄	dgd_
党	dhx_
档	dhm_
挡	dhf_
荡	dhc_
铛	dhj_
裆	dhp_
凼	dhu_
宕	dhb_
谠	dhy_
垱	dht_
笛	div_
低	dir_
底	dig_
帝	diw_
弟	dib_
敌	diq_
嘀	dik_
荻	dic_
抵	dif_
递	diz_
堤	dit_
诋	diy_
涤	did_
嫡	din_
柢	dim_
氐	diu_
缔	dis_
镝	dij_
单	djb_
疸	djb2
蛋	djv_
丹	djp_
淡	djd_
胆	djo_
弹	djg_
担	djf_
氮	djq_
儋	djr_
诞	djy_
啖	djk_
耽	dje_
石	dja_
惮	djx_
顶	dkd_
丁	dka_
订	dky_
啶	dkk_
钉	dkj_
盯	dko_
町	dkt_
碇	dku_
仃	dkr_
店	dmg_
典	dml_
殿	dmu_
垫	dmf_
淀	dmd_
癫	dmb_
阽	dme_
惦	dmx_
钿	dmj_
踮	dmz_
佃	dmr_
簟	dmv_
玷	dmw_
掉	dnf_
吊	dnk_
钓	dnj_
雕	dnp_
鸟	dnw_
刁	dnv_
凋	dnd_
鲷	dna_
夺	dod_
躲	dou_
朵	doj_
隋	doe_
驮	dom_
度	dog_
舵	dov_
跺	doz_
垛	dot_
惰	dox_
咄	dok_
掇	dof_
爹	dpb_
蝶	dpi_
碟	dpu_
叠	dpy_
迭	dpz_
佚	dpr_
牒	dpp_
喋	dpk_
耋	dpl_
丢	dqp_
短	dru_
椴	drm_
端	drl_
锻	drj_
缎	drs_
煅	drh_
塅	drt_
东	dsa_
洞	dsd_
懂	dsx_
董	dsc_
冬	dsw_
栋	dsm_
咚	dsk_
侗	dsr_
岽	dse_
氡	dsq_
垌	dst_
硐	dsu_
胴	dso_
度	dug_
毒	duf_
杜	dum_
都	dul_
独	duq_
赌	duk_
渡	dud_
堵	dut_
肚	duo_
督	duu_
笃	duv_
妒	dun_
镀	duj_
牍	dup_
读	duy_
蠹	dua_
队	dve_
堆	dvt_
兑	dvb_
敦	dvw_
碓	dvu_
追	dvz_
得	dwi_
嗲	dxk_
吨	dyk_
盾	dyp_
炖	dyh_
蹲	dyz_
敦	dyw_
坉	dyt_
钝	dyj_
盹	dyo_
沌	dyd_
斗	dzd_
豆	dza_
逗	dzz_
抖	dzf_
兜	dzp_
陡	dze_
痘	dzb_
蔸	dzc_
蚪	dzi_
妲	dan_
睇	dio_
疔	dkb_
荙	dac_
炟	dah_
帱	dcj_
梼	dcm_
鱽	dca_
叇	dde_
锝	dej_
嘚	dek_
扽	dff_
璒	dgw_
珰	dhw_
髢	dia_
萏	djc_
玎	dkw_
耵	dke_
扂	dmh_
窎	dnb_
裰	dop_
鲽	dpa_
垤	dpt_
瓞	dpg_
昳	dpo_
绖	dps_
铥	dqj_
簖	drv_
耑	dre_
黩	duh_
镦	dvj_
怼	dvy_
祋	dvp_
篼	dzv_
钭	dzj_
搭车	dai_
打架	daj_
打理	dal_
大于	day_
打不出	dbi_
大白天	dbt_
倒逼	dcb_
导出	dci_
打错了	dcl_
倒是	dcu_
呆板	ddb_
代购	ddg_
得到了	ddl_
嘟嘟囔囔	ddn_
埭	ddt_
大多数	ddu2
东道主	ddv_
得志	dev_
得以	dey_
电风扇	dfu_
打个包	dgb_
登记	dgj_
登陆	dgl_
多功能	dgn_
打官司	dgs_
等会儿	dhe_
大合唱	dhi_
打火机	dhj2
当众	dhv_
导火线	dhx2
地处	dii_
洞察力	dil_
地痞	dip_
翟	dix_
打交道	djd2
大家好	djh_
淡季	djj_
电吉他	djt_
倒计时	dju_
都江堰	djy2
胆子	djz_
抵抗力	dkl_
都可能	dkn_
