久旱逢甘霖，他乡遇故知。洞房花烛夜，金榜题名时。	sdlu
鹿精合肾回春胶囊	ljhn
丽江纳西族自治县	ljnx
朗缪尔吸附等温式	lmeu
兰尼孚酮康唑乳膏	lnfg
亮嗓胖大海清咽糖	lspt
硫酸软骨素注射液	lsry
老鼠过街人人喊打	lugd
来者不善善者不来	lvbl
立着放债跪着讨钱	lvfq
临阵磨枪不快也亮	lvml
老吾老以及人之老	lwll
良性淋巴上皮病变	lxlb
离子回旋共振加热	lzhr
美博克拉霉素胶囊	mbkn
美迪洛美沙星胶囊	mdln
磨而不磷涅而不缁	mebz
敏而好学不耻下问	mehw
摩尔质量排除极限	mevx
美国万国宝通银行	mgwx
闵可夫斯基坐标系	mkfx
麦克斯韦速率分布	mksb
马克思主义经作家	mksj
马铃儿响来玉鸟唱	mlei
酶联免疫吸附测定	mlmd
酶联免疫吸收分析	mlmx
梅里斯达斡尔族区	mlsq
漫漫的人生道路上	mmdu
面目可憎语言无味	mmkw
弥漫型肺间质疾病	mmxb
模拟移动床分离器	mnyq
麻雀虽小五脏俱全	mqsq
明枪易躲暗箭难防	mqyf
莫斯科不相信眼泪	mskl
买四两棉花纺一纺	mslf
明骚易躲暗贱难防	msyf
眉头一皱计上心来	mtyl
谋事在人成事在天	muzt
面皱如靴广武嘻嘻	mvrx
模型跟随控制系统	mxgt
慢性溃疡性牙髓炎	mxky
木秀于林风必摧之	mxyv
慢性增生性牙髓炎	mxzy
没有规矩不成方圆	mygy
民族区域自治制度	mzqd
你不会是当真了吧	nbhb
你不是真正的快乐	nbul
你把我的女人带走	nbwz
农村发展研究中心	ncfx
浓度敏感型检测器	ndmq
内鄂温克族自治旗	newq
拟弗罗贝尼乌斯环	nflh
哪个庙都有屈死鬼	ngmg
牛黄蛇胆川贝胶囊	nhun
奈愁里匆匆换时节	nilj
南昌铁路机械学校	nitx
泥浆池液面指示器	njiq
你可得好好努力哦	nkdo
内科尔沁右翼中旗	nkeq
你看你看月亮的脸	nknl
那堪片片飞花弄晚	nkpw
你可千万要小心啊	nkqa
南面地理专业词汇	nmdh
你妈叫你回家吃饭	nmjf
南美人的一种斗篷	nmrp
你没有什么安排吗	nmym
男女搭配干活不累	nndl
念奴娇书东流村壁	nnjb
女人何苦为难女人	nrhr
能斯特真空量热器	nstq
逆同位素稀释分析	ntwx
宁贴一斗不添一口	ntyk
你是故意想抛弃我	nugw
逆水行舟不进则退	nuht
那是我逝去的青春	nuwi
哪阵风把你吹来了	nvfl
宁为鸡口不为牛后	nwjh
宁为鸡头不为牛尾	nwjw
宁为玉碎不为瓦全	nwyq
颞下颌关节造影术	nxhu
颞下颌关节前脱位	nxhw
你现在就过来好了	nxzl
纽约爱乐交响乐团	nyat
哪有那么好的事情	nynq
你怎么舍得我难过	nzmg
疑则勿用用则勿疑	nzwn
欧洲混凝土委员会	ovhh
欧洲货币合作基金	ovhj
欧洲自由贸易联盟	ovzm
偏苯三甲酸三辛酯	pbsv
潘高寿蛇胆川贝液	pguy
旁观者清当事者迷	pgvm
怕梨花落尽成秋色	plhs
皮质激素转运蛋白	pvjb
亲爱的不要离开我	qadw
千部一腔千人一面	qbym
青菜萝卜各有所爱	qcla
去粗取精去伪存真	qcqv
确定一定以及肯定	qdyd
锲而不舍金石可镂	qebl
庆父不死鲁难未已	qfby
巧妇难为无米之炊	qfni
巧妇难做无米之粥	qfnv
区分能力倾向测验	qfny
全国汉字输入大赛	qghs
全国上下一片黑云	qguy
乔姆斯基层次结构	qmsg
去难拚二烧蜜调蜂	qnpf
千秋岁重到桃花坞	qqsw
全球卫星定位系统	qqwt
去其糟粕取其精华	qqzh
穷人的孩子早当家	qrdj
强酸型离子交换剂	qsxj
前无古人后无来者	qwgv
全心全意为人民服	qxqf
秋云微波淡月微羞	qywx
人不犯我我不犯人	rbfr
人本主义心理治疗	rbvl
人而无信不知其可	rewk
人过留名雁过留声	rglu
人话人说鬼话鬼说	rhru
润洁萘扑维滴眼液	rjny
瑞龙速效止泻胶囊	rlsn
人民群众的积极性	rmqx
人平不语水平不流	rpbl
润晴护理液成年型	rqhx
如人饮水冷暖自知	rryv
乳酸依沙吖啶溶液	rsyy
人胎盘组织注射液	rtpy
弱水三千只取一瓢	rusp
认真的女人最美丽	rvdl
人之将死其言也善	rvju
仁者见仁智者见智	rvjv
人中吕布马中赤兔	rvlt
人为财死鸟为食亡	rwcw
人在江湖身不由己	rzjj
三爱小儿止咳糖浆	saxj
三爱鱼腥草注射液	sayy
肃北蒙古族自治县	sbmx
三大纪律八项注意	sdjy
三分像人七分像鬼	sfxg
三个代表重要思想	sgdx
三宫六院七十二妃	sglf
算合作平居鸩毒猜	shzc
随机高级佩特里网	sjgw
斯堪的纳维亚半岛	skdd
四码唯一自动上屏	smwp
赛前盲目自信状态	sqmt
三人行必有我师焉	srhy
三人行，必有我师	srxu
虽死之日犹生之年	ssvn
四体不勤五谷不分	stbf
三天不打上房揭瓦	stbw
死诸葛吓走生仲达	svgd
岁晚乘涛载雪而下	swix
塞翁失马焉知非福	swuf
台北市立师范学校	tbux
太公钓鱼愿者上钩	tgdg
土库曼斯坦共和国	tkmg
桃李不言下自成蹊	tlbx
吐鲁番的葡萄熟了	tlfl
特立尼达和多哥巴	tlnb
特立尼达和多巴哥	tlng
蜕皮激素效应元件	tpjj
天天乐防芷鼻炎片	ttlp
天塌下来有地接着	ttxv
透射高能电子衍射	tugu
他山之石可以攻玉	tuvy
提示系统已有词组	tuxz
堂上一呼阶下百诺	tuyn
天无二日人无二理	twel
台湾民主自治同盟	twmm
台湾汽车客运公司	twqs
天下兴亡匹夫有责	txxz
透射高能电子衍射	tygy
天要下雨娘要嫁人	tyxr
生不带来死不带去	ubdq
设备驱动程序文件	ubqj
圣多美和普林西比	udmb
水滴石穿坐食山空	uduk
生的伟大死的光荣	udwr
杀敌一千自损八百	udyb
神而明之存乎其人	uemr
双颌式功能矫正器	uhuq
十九岁的最后一天	ujst
是可忍，孰不可忍	ukrr
山力牌花旗参胶囊	ulpn
水来伸手饭来张口	uluk
少了我天就要塌了	ulwl
水力压缩式封隔器	ulyq
神马牌海马追风膏	umpg
十目所视十手所指	umsv
十年寒窗一举成名	unhm
十年树木百年树人	unur
十年生聚十年教训	unux
圣皮埃尔和密克隆	upal
守如处女出如脱兔	urit
瘦死的骆驼比马大	usdd
甚思去年中秋泛月	usqy
生死有命富贵在天	usyt
身体是革命的本钱	utuq
顺天则昌逆天则亡	utzw
上知天文下知地理	uvtl
食之无味弃之可惜	uvwx
生物换能器转换器	uwhq
石油天然气总公司	uyts
睡在我上铺的兄弟	uzwd
数字用户线滤波器	uzyq
知错能改善莫大焉	vcny
只此一家别无分店	vcyd
这都被你看出来了	vdbl
指点江山激扬文字	vdjz
主动脉瓣关闭不全	vdmq
中非关税经济同盟	vfgm
中国国际广播电台	vggt
中国科学技术协会	vgkh
中国汽车工业公司	vgqs
中华民族传统美德	vhmd
中华民族伟大复兴	vhmx
扎拉斯图拉如是说	vlsu
战区导弹防御系统	vqdt
中去复来几二十年	vqfn
证券公司检查办法	vqgf
真人面前不说假话	vrmh
壮士一去兮不复返	vuyf
只知其一不知其二	vvqe
植物病害流行预测	vwbc
朝闻道，夕死可矣	vwdy
只闻其声不见其人	vwqr
中央人民广播电台	vyrt
微波混合集成电路	wbhl
未曾略展双眉开口	wclk
沃尔什正交函数系	weux
五峰土家族自治县	wftx
为官一任造福一方	wgyf
王侯将相宁有种乎	whjh
味觉性出汗综合征	wjxv
文科生的一个下午	wkuw
旺龙羚羊感冒胶囊	wlln
威马牌高丽参胶囊	wmpn
王码商密技术公司	wmus
王码五笔型输入法	wmwf
五年高考三年模拟	wngn
王婆卖瓜自卖自夸	wpmk
无情的雨无情的你	wqdn
我所爱的让我流泪	wsal
望水东二说尽闲情	wudq
温室二氧化碳加浓	wuen
闻王昌龄左迁龙标	wwib
我为人人人人为我	wwrw
维西僳僳族彼治县	wxsx
文艺复兴时期法律	wyfl
