²»	sj
¸ö	il
´ó	i;
Ê²	iw
»á	ie
×ö	ir
Ëû	it
µÃ	iu
ºÜ	ii
ĞĞ	io
»õ	iz
È«	ix
¹«	ic
×÷	iv
Èë	in
½ñ	im
·Ö	i,
¼ş	i.
Ç®	oj
±Ê	ok
µÈ	ol
¼ü	o;
Ëã	ow
½ğ	oe
¹Ü	or
´í	ot
°®	ou
Ïú	oi
µÚ	oo
ÌØ	oz
¼ò	ox
Îï	oc
Å£	ov
ÊÜ	on
Ğ¦	om
ÖÓ	o,
´ğ	o.
¿ì	zj
Çé	zk
¶®	zl
ÅÂ	z;
ĞÔ	zw
Óã	ze
Ã¦	zr
¾ª	zt
¹Ö	zu
»Ö	zi
Âı	zo
¿ñ	zz
»³	zx
ºŞ	zc
¶À	zv
ÃÍ	zn
Õú	zm
¹·	z,
·¸	z.
¶à	xj
ÔÂ	xk
È»	xl
Ãû	x;
Åó	xw
°ü	xe
·ş	xr
Íâ	xt
ÄÔ	xu
½â	xi
ÅÌ	xo
¸÷	xz
Îñ	xx
Ãâ	xc
Ìõ	xv
·¹	xn
É«	xm
±¸	x,
´¦	x.
Ã»	cj
·¨	ck
´Î	cl
×Ê	c;
×°	cw
¾Æ	ce
½­	cr
Á÷	ct
»î	cu
½«	ci
ºş	co
Çå	cz
×¼	cx
ºº	cc
º£	cv
×¢	cn
ÓÎ	cm
ÆÅ	c,
¾ö	c.
±»	vj
Êı	vk
ÊÓ	vl
»ğ	v;
Àà	vw
Éñ	ve
¾«	vr
Ã×	vt
Éç	vu
¶Ï	vi
³õ	vo
×æ	vz
Àñ	vx
Á¸	vc
ÑÌ	vv
ÃÔ	vn
ÉÕ	vm
µÆ	v,
ÁÏ	v.
¹ã	nj
µê	nk
Ó¦	nl
¶È	n;
·¿	nw
Õ¹	ne
Ô­	nr
»§	nt
³§	nu
Àú	ni
¾Ó	no
¾¡	nz
Ô¸	nx
Í´	nc
×ù	nv
À÷	nn
´²	nm
Ä§	n,
Îİ	n.
Ëµ	mj
¼Ò	mk
×Ö	ml
»°	m;
Òâ	mw
Ë­	me
Çë	mr
¶¨	mt
ĞÂ	mu
Òô	mi
Êµ	mo
ÈÃ	mz
°²	mx
Äş	mc
Ğ»	mv
¸Ã	mn
²¿	mm
¿Õ	m,
Õ¾	m.
ºÃ	,j
Å®	,k
¶Ô	,l
Èç	,;
ÓÖ	,w
»¶	,e
ÄÑ	,r
Ëı	,t
Í¨	,u
Ôº	,i
Ë«	,o
Ï°	,z
Âè	,x
Ê¼	,c
Ñô	,v
ÃÃ	,n
Ëæ	,m
ÏŞ	,,
½ã	,.
¸ø	.j
Èº	.k
·Ñ	.l
¾­	.;
½á	.w
ÕÅ	.e
±à	.r
Â¼	.t
Ç¿	.u
½¨	.i
Ïß	.o
¼¶	.z
Í³	.x
¾ø	.c
×é	.v
ºì	.n
¼Ì	.m
ÖÕ	.,
»º	..
¶¯	ssj
ÎŞ	ssk
½ø	ssl
¶ş	ss;
°ï	ssw
¸É	sse
ÓÚ	ssr
×¨	sst
±í	ssu
Ê½	ssi
Ô¶	sso
ĞÎ	ssz
»÷	ssx
¹æ	ssc
Ê¾	ssv
Î´	ssn
·ò	ssm
ÔÆ	ss,
Îä	ss.
Õ¼	dsj
Õ½	dsk
×À	dsl
±³	ds;
Êå	dsw
±¯	dse
²Í	dsr
±²	dst
Õê	dsu
Â¬	dsi
×¿	dso
ôä	dsz
Åá	dsx
ìş	dsc
ì³	dsv
¶½	dsn
Í¹	dsm
ÛÖ	ds,
¼½	ds.
Ã¿	asj
Ç§	ask
Æø	asl
ÖÆ	as;
Ã«	asw
ÊÊ	ase
Ñ¡	asr
Îç	ast
¿¿	asu
µĞ	asi
ÂÒ	aso
Ê§	asz
Ôì	asx
°«	asc
¸´	asv
Ê£	asn
¶Ì	asm
¶ª	as,
´¹	as.
·Å	fsj
ÉÌ	fsk
ÒÂ	fsl
Íû	fs;
Ò¹	fsw
¾©	fse
±ä	fsr
Áù	fst
Àë	fsu
Òà	fsi
³ä	fso
ºÁ	fsz
Íü	fsx
ÅÔ	fsc
°§	fsv
ÁÁ	fsn
Æë	fsm
Êì	fs,
ÂÃ	fs.
¸Ò	gsj
¼´	gsk
¼È	gsl
ÍË	gs;
Ñ¸	gsw
Òì	gse
¼º	gsr
³ó	gst
¼É	gsu
¿Ò	gsi
ËÈ	gso
µó	gsz
ôß	gsx
Ùã	gsc
åÚ	gsv
¿Ñ	gsn
º©	gsm
ôŞ	gs,
íª	gs.
ÃÎ	jsj
Ä¾	jsk
´å	jsl
ÁÖ	js;
ºá	jsw
ÒÎ	jse
±­	jsr
½û	jst
±ú	jsu
Ö¦	jsi
²Ä	jso
³ş	jsz
É­	jsx
ÕÈ	jsc
¶Å	jsv
Æå	jsn
¿ò	jsm
Ö²	js,
¿İ	js.
¿à	ksj
¸ï	ksk
Öø	ksl
²Ø	ks;
´÷	ksw
ÈÇ	kse
²©	ksr
ÔØ	kst
Á«	ksu
½Ø	ksi
İÃ	kso
Ü½	ksz
Ğ¬	ksx
Áâ	ksc
Æ»	ksv
½å	ksn
ÔÔ	ksm
ÔÕ	ks,
ºù	ks.
Çò	lsj
Íõ	lsk
»·	lsl
Åª	ls;
ÍÁ	lsw
·â	lse
»µ	lsr
Ç½	lst
Ê¿	lsu
Á¾	lsi
ÇÙ	lso
ç÷	lsz
ËÂ	lsx
‰¹	lsc
Ëş	lsv
Ì³	lsn
Ğù	lsm
Óò	ls,
¿°	ls.
´ë	;sj
¾Ü	;sk
Ãè	;sl
¹Ò	;s;
Ãş	;sw
·ö	;se
Ä¨	;sr
°Î	;st
¸§	;su
ÑÚ	;si
´î	;so
Åõ	;sz
Éã	;sx
Õñ	;sc
¹°	;sv
²¶	;sn
Èö	;sm
Ğ®	;s,
Ëº	;s.
Í¬	wsj
Òò	wsk
ºÅ	wsl
À²	ws;
¶÷	wsw
¾ß	wse
Öú	wsr
À§	wst
ÇÒ	wsu
ÏÅ	wsi
ÏØ	wso
´ô	wsz
Ôô	wsx
¾à	wsc
º°	wsv
ÍÅ	wsn
²Æ	wsm
à«	ws,
ÍÂ	ws.
Á¿	esj
ÖÃ	esk
ÓÉ	esl
°Õ	es;
»Ê	esw
Ïş	ese
¶ú	esr
¿Å	est
¶¢	esu
Çç	esi
Ò°	eso
±©	esz
³ô	esx
Â÷	esc
³¿	esv
Ãé	esn
Î·	esm
À¥	es,
Êğ	es.
²Ğ	rsj
Ëª	rsk
°Ô	rsl
Åé	rs;
ÔÒ	rsw
Çı	rse
Öè	rsr
ëˆ	rst
´õ	rsu
´×	rsi
Ë¶	rso
¿Ä	rsz
×©	rsx
ÔÍ	rsc
Ö³	rsv
Æö	rsn
µú	rsm
ÀÚ	rs,
ÁØ	rs.
À¯	tsj
÷¼	tsk
òş	tsl
Èä	ts;
¹ë	tsw
ãØ	tse
Ïº	tsr
òğ	tst
ãĞ	tsu
Èò	tsi
À»	tso
ãÅ	tsz
ÍÜ	tsx
òû	tsc
òß	tsv
Ëè	tsn
ÑË	tsm
òá	ts,
°ö	ts.
ÑÒ	usj
Ç¶	usk
Õ¸	usl
Ï¿	us;
Å°	usw
Ì¿	use
Æç	usr
Æé	ust
áÛ	usu
åá	usi
áª	uso
ÖÅ	usz
àø	usx
áË	usc
Ì	usv
áÉ	usn
Óì	usm
á©	us,
àı	us.
ºÏ	isj
ÄÃ	isk
±ã	isl
´ú	is;
Ìå	isw
Ê¹	ise
ºÎ	isr
´«	ist
Î°	isu
¹©	isi
ÓÅ	iso
Ì×	isz
½£	isx
µ¹	isc
°Á	isv
Ææ	isn
Ãü	ism
´ı	is,
Ğİ	is.
²É	osj
Õò	osk
Õë	osl
Îş	os;
ïÚ	osw
²Ê	ose
²ß	osr
ÆÌ	ost
Ïä	osu
Áı	osi
Á´	oso
¶¤	osz
Öş	osx
Äµ	osc
³ï	osv
±¿	osn
¼®	osm
óŞ	os,
Öı	os.
·ß	zsj
²Â	zsk
ââ	zsl
ÓÌ	zs;
ÓÇ	zsw
Ã¨	zse
Îò	zsr
Öí	zst
»Å	zsu
²Ñ	zsi
ÀÁ	zso
Ï§	zsz
Ô³	zsx
É÷	zsc
ÏÁ	zsv
ÁÔ	zsn
¹ä	zsm
Éå	zs,
ºã	zs.
½Å	xsj
Î£	xsk
Ñü	xsl
¶Ç	xs;
²±	xsw
ÈÄ	xse
Ï¥	xsr
ëü	xst
Öâ	xsu
Äå	xsi
Åò	xso
·ô	xsz
·Î	xsx
ëï	xsc
¸Î	xsv
Ö«	xsn
Ä¤	xsm
¿è	xs,
À°	xs.
Ô´	csj
Âú	csk
Æ¯	csl
½¥	cs;
¼õ	csw
ºÓ	cse
ÎÛ	csr
Áè	cst
º¹	csu
Æà	csi
Çş	cso
Ç±	csz
Ïæ	csx
Ç³	csc
äì	csv
ºé	csn
³±	csm
Õã	cs,
¸Û	cs.
¸£	vsj
·³	vsk
ºı	vsl
Á¶	vs;
³Ä	vsw
Ôã	vse
Ãº	vsr
¿¾	vst
µ»	vsu
Íà	vsi
Ôî	vso
ñÒ	vsz
·à	vsx
ì¿	vsc
½ó	vsv
ì÷	vsn
ìÀ	vsm
ÁÇ	vs,
ºæ	vs.
Âé	nsj
Ìü	nsk
²¡	nsl
²ã	ns;
´½	nsw
×¯	nse
Ñ¹	nsr
³ø	nst
÷á	nsu
µî	nsi
¿â	nso
Çì	nsz
Ï¯	nsx
Æ¨	nsc
Ñá	nsv
ÅÓ	nsn
¾ç	nsm
ÕÚ	ns,
Ä¥	ns.
¼Æ	msj
Íê	msk
ÊÔ	msl
Ö¤	ms;
Óï	msw
±¦	mse
Ğ´	msr
Ç×	mst
Í»	msu
´©	msi
½²	mso
º®	msz
ÌÖ	msx
º¦	msc
ÊÒ	msv
Ğû	msn
¾ü	msm
ÊØ	ms,
Ê«	ms.
°¢	,sj
¹Ã	,sk
¾¢	,sl
Ê¥	,s;
Õó	,sw
³Â	,se
¸ô	,sr
Ï·	,st
Ä°	,su
Áê	,si
¶¸	,so
¾±	,sz
¼Ê	,sx
ÍŞ	,sc
¼§	,sv
Ã½	,sn
Â½	,sm
±İ	,s,
æÌ	,s.
Ñ°	.sj
Á·	.sk
ÈÆ	.sl
´¿	.s;
Ğø	.sw
ç²	.se
°ó	.sr
ç±	.st
¸¿	.su
½®	.si
çÖ	.so
Ãå	.sz
ÈŞ	.sx
çÔ	.sc
í²	.sv
¼ê	.sn
çÎ	.sm
¼¨	.s,
æû	.s.
Î÷	sdj
Îå	sdk
Á½	sdl
Õı	sd;
ÔÙ	sdw
¸ç	sde
´ø	sdr
¸ü	sdt
Æä	sdu
Çó	sdi
ËÙ	sdo
»ò	sdz
»­	sdx
ÆÚ	sdc
Õş	sdv
»ù	sdn
¹¦	sdm
Ïî	sd,
Éõ	sd.
¾É	ddj
ÁÙ	ddk
ÏÍ	ddl
¼ø	dd;
Êú	ddw
ÀÀ	dde
Ôä	ddr
Éö	ddt
Úş	ddu
íë	ddi
íê	ddo
íé	ddz
ØÖ	ddx
Ø­	ddc
‘»	ddv
…²	ddn
Œ¦	ddm
Q	dd,
|	dd.
Æ¬	adj
Ïò	adk
±Ò	adl
¶Î	ad;
Ñª	adw
×·	ade
±ø	adr
Ë³	adt
ÅÆ	adu
»Ù	adi
°Â	ado
Óß	adz
ÛÅ	adx
´¨	adc
°æ	adv
ÑÓ	adn
ÔÀ	adm
¾Ë	ad,
Æ¹	ad.
šê	fdj
ş	fdk
ş	fdl
fd	;
fd	w
fd	e
fd	r
fd	t
fd	u
fd	i
fd	o
fd	z
fd	x
fd	c
fd	v
fd	n
fd	m
fd	,
fd	.
³Ğ	gdj
Ã¼	gdk
°Í	gdl
º¯	gd;
¹Â	gdw
ÎÀ	gde
Ëï	gdr
µ°	gdt
¿×	gdu
ÃÏ	gdi
Êè	gdo
ÁÉ	gdz
Ø©	gdx
Ñ·	gdc
×Î	gdv
Ø½	gdn
Èæ	gdm
æİ	gd,
æß	gd.
Ïã	jdj
»ı	jdk
ÉÔ	jdl
Ãë	jd;
¿Ã	jdw
µµ	jde
Àã	jdr
¹÷	jdt
ĞÓ	jdu
é½	jdi
Í©	jdo
Àæ	jdz
×â	jdx
Ó£	jdc
ÉÒ	jdv
ÆÓ	jdn
ğ¥	jdm
»à	jd,
èÃ	jd.
Ó¢	kdj
Äª	kdk
¹Å	kdl
É¢	kd;
À¶	kdw
¿Ë	kde
²İ	kdr
ºú	kdt
Ñà	kdu
º«	kdi
İë	kdo
Ä»	kdz
Îô	kdx
Ï×	kdc
Ç¬	kdv
ÇÚ	kdn
ÇÊ	kdm
Ä¹	kd,
ÜÆ	kd.
³¬	ldj
Ô½	ldk
¸Ï	ldl
¹Ä	ld;
ÕÔ	ldw
Ç÷	lde
¸°	ldr
ÌË	ldt
¼Î	ldu
Âñ	ldi
³Ã	ldo
¼ª	ldz
Èğ	ldx
Ì¹	ldc
µÌ	ldv
È¤	ldn
ÑÎ	ldm
Ô¬	ld,
çú	ld.
µ£	;dj
µô	;dk
²Ù	;dl
ÆË	;d;
°Æ	;dw
ÅÅ	;de
Ëğ	;dr
³¶	;dt
³é	;du
µ²	;di
¿Û	;do
×½	;dz
Äó	;dx
³Å	;dc
¹Õ	;dv
Ñº	;dn
¾è	;dm
½Ò	;d,
³­	;d.
ºÈ	wdj
¿Ú	wdk
àÅ	wdl
Ô±	wd;
Æ÷	wdw
ºÚ	wde
¹ó	wdr
Ëä	wdt
Ôò	wdu
×ì	wdi
¿Ş	wdo
×ã	wdz
Âî	wdx
Ìù	wdc
Ì¤	wdv
³ª	wdn
Î¹	wdm
ºÙ	wd,
Á¨	wd.
Ä¿	edj
Ö°	edk
Ô»	edl
ÏÔ	ed;
Óö	edw
Ã°	ede
Ìï	edr
±Ç	edt
×ï	edu
»Î	edi
Çú	edo
¼×	edz
Éê	edx
Ó³	edc
ÕÖ	edv
Âü	edn
ÓŞ	edm
Èª	ed,
¾§	ed.
ÁĞ	rdj
ÁÒ	rdk
ÁÑ	rdl
Ê»	rd;
°­	rdw
É°	rde
Ñâ	rdr
Ïö	rdt
Ââ	rdu
ö­	rdi
Ñê	rdo
µâ	rdz
æ÷	rdx
Ïõ	rdc
³Ò	rdv
æá	rdn
éæ	rdm
±Ã	rd,
Ì¼	rd.
¹Æ	tdj
òÚ	tdk
Ğ«	tdl
Õ¢	td;
Âİ	tdw
ó«	tde
Ó¬	tdr
Ãö	tdt
ÎÏ	tdu
»×	tdi
ãÌ	tdo
ãÖ	tdz
Çù	tdx
ò¸	tdc
òĞ	tdv
òå	tdn
ò¹	tdm
ãÑ	td,
ãÍ	td.
½í	udj
Ìû	udk
ÇÍ	udl
êï	ud;
Ö¡	udw
Óİ	ude
»Ï	udr
áÌ	udt
á£	udu
ò­	udi
	udo
ÖÄ	udz
¿ù	udx
á¶	udc
á¼	udv
á­	udn
áµ	udm
Ì	ud,
Š	ud.
µ«	idj
ºò	idk
±£	idl
ĞŞ	id;
Æó	idw
Î¢	ide
Éì	idr
´Ù	idt
ÏÉ	idu
²à	idi
¾ã	ido
Ù¿	idz
ÌÈ	idx
±¤	idc
ÆÍ	idv
·Ü	idn
Å¼	idm
´ß	id,
ÇÎ	id.
¾ô	odj
Ëø	odk
¸Ö	odl
Í­	od;
×ê	odw
¹ø	ode
¿ê	odr
³®	odt
Àº	odu
µÑ	odi
Í²	odo
ÃÙ	odz
Îı	odx
É¸	odc
Âà	odv
³ú	odn
ïí	odm
ÂÁ	od,
ï¬	od.
ÇÄ	zdj
ã¶	zdk
ãµ	zdl
»Ğ	zd;
Â³	zdw
¾å	zde
Ê¨	zdr
âü	zdt
º·	zdu
Àğ	zdi
²ş	zdo
âı	zdz
µ¿	zdx
ĞÊ	zdc
ĞÉ	zdv
ã·	zdn
Àê	zdm
¶²	zd,
ã³	zd.
¹»	xdj
¾ä	xdk
¸º	xdl
Ïó	xd;
Ãã	xdw
¶û	xde
Òİ	xdr
µ¨	xdt
Ñ®	xdu
ÍÃ	xdi
¹ê	xdo
Ö×	xdz
ëÙ	xdx
Âø	xdc
Èù	xdv
ĞÈ	xdn
½¢	xdm
Ê´	xd,
ÌÅ	xd.
Ïû	cdj
ÓÍ	cdk
³å	cdl
ÎÂ	cd;
×´	cdw
¶´	cde
Àá	cdr
±ù	cdt
Éæ	cdu
É³	cdi
²â	cdo
»¬	cdz
»ì	cdx
¿Ê	cdc
¿ö	cdv
Êª	cdn
×³	cdm
Õ´	cd,
¾Ú	cd.
Ğä	vdj
´Ö	vdk
²¹	vdl
±¬	vd;
×£	vdw
²Ó	vde
»ö	vdr
Âã	vdt
³ã	vdu
ñÄ	vdi
Öò	vdo
¾¼	vdz
³´	vdx
Õ³	vdc
ºÖ	vdv
Ôï	vdn
Ì»	vdm
ìõ	vd,
ñÜ	vd.
¼ç	ndj
½ì	ndk
±é	ndl
±Ü	nd;
Åü	ndw
±Û	nde
±Ú	ndr
ºñ	ndt
Ãí	ndu
Æô	ndi
Ğ¼	ndo
°©	ndz
Æ©	ndx
ôæ	ndc
±â	ndv
Ë¢	ndn
±Ù	ndm
²Ş	nd,
Ï¬	nd.
Ê¶	mdj
¾¹	mdk
¹Ù	mdl
¹¬	md;
¾º	mdw
¶Ë	mde
Îó	mdr
ÕÂ	mdt
¼Å	mdu
Î½	mdi
Í¯	mdo
´Ü	mdz
Éó	mdx
¿Î	mdc
Ñç	mdv
Ú¤	mdn
ÒË	mdm
½ß	md,
ÎÑ	md.
¹Û	,dj
×è	,dk
Ãî	,dl
ÓÂ	,d;
Óé	,dw
Ë¡	,de
Ğõ	,dr
¾ê	,dt
Òö	,du
Ï¶	,di
ğ®	,do
Óç	,dz
æ§	,dx
‹ 	,dc
æÏ	,dv
æ½	,dn
ÔÉ	,dm
æ³	,d,
æ¨	,d.
Òı	.dj
Ï¸	.dk
ÄÉ	.dl
É´	.d;
Éğ	.dw
Éş	.de
Ëà	.dr
Ö¯	.dt
°ş	.du
´ş	.di
¸Ù	.do
´Â	.dz
¾î	.dx
ç³	.dc
Á¥	.dv
¼©	.dn
Ó§	.dm
ç¯	.d,
ç¿	.d.
³É	saj
ÓÑ	sak
Íò	sal
°Ù	sa;
ËÀ	saw
¶ø	sae
¸Ğ	sar
Áú	sat
Çø	sau
Ò½	sai
´æ	sao
·ñ	saz
ÓÈ	sax
ÕÉ	sac
×ó	sav
ÓÒ	san
Å·	sam
Öğ	sa,
²¼	sa.
¼â	daj
¹é	dak
³¾	dal
Ë§	da;
È¸	daw
ÁÓ	dae
„G	dar
Œ¨	dat
Œ¬	dau
Œ­	dai
š¸	dao
ĞV	daz
ÒŒ	dax
æÙ	dac
ş^	dav
da	n
da	m
da	,
da	.
½ü	aaj
·´	aak
ÖÊ	aal
Ğë	aa;
ÅÀ	aaw
ĞÀ	aae
·µ	aar
×¦	aat
¶İ	aau
½ï	aai
Òó	aao
³â	aaz
¹Ï	aax
¶Ü	aac
ñı	aav
åË	aan
Ø´	aam
áê	aa,
‹€	aa.
¹Ø	faj
ËÍ	fak
×Ü	fal
°ë	fa;
²¢	faw
²î	fae
Ñø	far
Öİ	fat
¼æ	fau
µÜ	fai
Ï£	fao
É±	faz
Ôø	fax
Ê×	fac
È­	fav
Ñ¾	fan
¾í	fam
ÆÕ	fa,
Òå	fa.
·É	gaj
µ¶	gak
ÈÌ	gal
ÄË	ga;
ÕÙ	gaw
ÆÄ	gae
Æ¤	gar
ÈĞ	gat
Ó¯	gau
ÉÛ	gai
ÔĞ	gao
Û¿	gaz
Ìö	gax
Ê­	gac
æØ	gav
Ø¾	gan
ê®	gam
°’	ga,
E	ga.
ÎÈ	jaj
¼ì	jak
³Æ	jal
ÒÆ	ja;
Áø	jaw
Ç¹	jae
ËÉ	jar
¹¹	jat
Ã·	jau
ÖÈ	jai
Ã¶	jao
ÇÅ	jaz
ÌÒ	jax
ÃŞ	jac
Öê	jav
Åï	jan
Íº	jam
Àè	ja,
ÄÂ	ja.
Ğ­	kaj
²è	kak
²Ô	kal
¾¯	ka;
±Ş	kaw
ËÕ	kae
¾´	kar
¶­	kat
ÀÕ	kau
ÌÙ	kai
¹§	kao
ºÉ	kaz
Àò	kax
Ñ¦	kac
Åî	kav
Äõ	kan
ÆÏ	kam
Ïï	ka,
¾Õ	ka.
Èí	laj
¿¼	lak
¾ù	lal
Ôİ	la;
ÂÖ	law
¶Ñ	lae
Öé	lar
³à	lat
Ãµ	lau
Õ¶	lai
±Ì	lao
Õä	laz
Áá	lax
Ğ¢	lac
½Î	lav
¹ì	lan
Ñş	lam
Öó	la,
Éº	la.
Ö¸	;aj
Ò¡	;ak
Ö´	;al
×¥	;a;
ÊÆ	;aw
ÅÄ	;ae
Óµ	;ar
±§	;at
ÇÀ	;au
Õõ	;ai
Ìô	;ao
ÍĞ	;az
Í¦	;ax
ÍÏ	;ac
²å	;av
ÕÛ	;an
µÖ	;am
ËÑ	;a,
Å×	;a.
ÄÚ	waj
Ìı	wak
ËÄ	wal
Í¼	wa;
É¶	waw
ÅÜ	wae
¿©	war
°È	wat
ÔÛ	wau
ĞÖ	wai
Áí	wao
Ìø	waz
Ïì	wax
Î¨	wac
·Ô	wav
ÎÇ	wan
Ô¾	wam
ºô	wa,
´µ	wa.
Éí	eaj
Ò×	eak
ĞÇ	eal
½ç	ea;
×ò	eaw
ÇÆ	eae
¹í	ear
Éä	eat
ÂŞ	eau
ÌÉ	eai
¶ã	eao
Õö	eaz
ÂÔ	eax
Âß	eac
°º	eav
Ë²	ean
÷È	eam
Õ£	ea,
ÅÎ	ea.
Îí	raj
¿³	rak
½¾	ral
»ô	ra;
Êâ	raw
Áã	rae
Âæ	rar
ÄŞ	rat
±®	rau
¿á	rai
¾Ô	rao
ËÖ	raz
Ñ±	rax
¼ß	rac
Ã¹	rav
æâ	ran
í½	ram
×Ã	ra,
½¸	ra.
ÑÖ	taj
·ä	tak
Ö©	tal
Öë	ta;
÷»	taw
ÑÑ	tae
¶ê	tar
·§	tat
¸ò	tau
òÇ	tai
ó¬	tao
ó´	taz
ó¸	tax
»È	tac
òò	tav
÷½	tan
òÆ	tam
òİ	ta,
ãÔ	ta.
Áë	uaj
¶ë	uak
³İ	ual
²ñ	ua;
´Ş	uaw
ÅÁ	uae
Áä	uar
·«	uat
á°	uau
ÒÙ	uai
±À	uao
±ë	uaz
á¡	uax
á¦	uac
´Æ	uav
ö»	uan
á¯	uam
Î¡	ua,
Â²	ua.
¼Û	iaj
»ª	iak
»¯	ial
Ïñ	ia;
´Ó	iaw
ÈÎ	iae
µÍ	iar
Äú	iat
°Ë	iau
½é	iai
×ø	iao
¸¸	iaz
ÖÚ	iax
ÉË	iac
Óû	iav
·İ	ian
¶í	iam
Ò¯	ia,
¹È	ia.
Ìú	oaj
Öñ	oak
·û	oal
Ç©	oa;
Áå	oaw
½õ	oae
Ô¿	oar
·æ	oat
Ò£	oau
¹³	oai
ÄÁ	oao
¶Í	oaz
óÏ	oax
µö	oac
ÇÕ	oav
ïñ	oan
½î	oam
´¸	oa,
Éü	oa.
Óä	zaj
ºü	zak
Á¯	zal
Ç¡	za;
Î©	zaw
»Ú	zae
ã¾	zar
ºï	zat
Õø	zau
»Ì	zai
À¢	zao
°Ã	zaz
âã	zax
ã°	zac
¼Â	zav
Ğ¸	zan
âê	zam
Ğô	za,
Ìñ	za.
°ã	xaj
Á³	xak
ºö	xal
´¬	xa;
¹É	xaw
ĞØ	xae
Ê¤	xar
´Ò	xat
Æ¢	xau
½Ç	xai
Ç·	xao
´¥	xaz
