本词库版权归：北京王码网科技有限公司	syyd
一个国家两种制度	gwly
一方有难八方支援	gydr
具有划时代的意义	hday
具有国际先进水平	hdlg
战略协作伙伴关系	hlft
学一阵子用一辈子	igbb
海峡两岸关系协会	imgw
星星之火可以燎原	jjpd
坚持四项基本原则	jrlm
中共北京市委书记	kauy
中国共产党领导的	klar
中国国际广播电台	kllc
中国软件行业协会	kllw
中国核工业总公司	klsn
中国科学技术协会	kltw
中央委员会总书记	kmty
中央人民广播电台	kmwc
中美三个联合公报	kudr
置有关法规于不顾	ldud
国家中医药管理局	lpkn
国家机关工作人员	lpsk
因特网服务提供者	ltmf
以经济建设为中心	nxin
完成祖国统一大业	pdpo
安理会常任理事国	pgwl
福如东海寿比南山	pvam
社会治安综合治理	pwig
社会发展十年规划	pwna
社会主义市场经济	pwyi
社会主义初级阶段	pwyw
宁为玉碎不为瓦全	pygw
年均国民生产总值	rflw
造成直接经济损失	tdfr
和平共处五项原则	tgam
千里之堤溃于蚁穴	tjpp
北大西洋公约组织	udsx
半殖民地半封建的	ugnr
美国康柏电脑公司	ulyn
新疆维吾尔自治区	uxxa
北京人民广播电台	uywc
剥夺政治权利终身	vdgt
依法追究刑事责任	wiww
信息技术有限公司	wtrn
信息产业有限公司	wtun
东南亚国家联盟	afgj
功夫不负有心人	afgw
欧洲经济共同体	aixw
世界政治多极化	algw
世界关贸总协定	alup
世界经济全球化	alxw
工商行政管理局	autn
共产主义青年团	auyl
勤俭办一切事业	awlo
承包经营责任制	bqxr
联产承包责任制	bubr
又巴劲头私马依	cccw
巴布亚新几内亚	cdgg
马克思主义政党	cdli
台湾事务管理局	cign
台湾事务办公室	cigp
台湾同胞联谊会	cimw
对外经济贸易部	cqxu
有其名而无其实	daqp
胡子眉毛一把抓	dbnr
有过之而无不及	dfpe
大规模集成电路	dfsk
石油输出国组织	dilx
石油化工总公司	diwn
三句话不离本行	dqyt
在各自的岗位上	dtth
在很短的时间内	dttm
有计划商品经济	dyai
采取不正当手段	ebgw
月乃用舟家衣下	eeeg
胜败乃兵家常事	emeg
地面卫星接收站	fdbu
二万五千里长征	fdgt
十一届三中全会	fgnw
远水救不了近火	fifo
寸金难买寸光阴	fqcb
无产阶级革命家	fubp
一切从实际出发	gawn
王码电脑总公司	gdjn
与去年同期相比	gfrx
政协全国委员会	gfww
表示诚挚的欢迎	gfyq
五一国际劳动节	ggla
不到长城非好汉	ggti
画虎不成反类犬	ghgd
亚洲太平洋地区	gida
致以节日的祝贺	gnal
致以崇高的敬意	gnmu
一失足成千古恨	grkn
一年之计在于春	grpd
天翻地覆的变化	gtfw
王旁青头戋五一	gugg
五讲四美三热爱	gyle
常驻联合国代表	icbg
海洋石油总公司	iidn
党风和廉政建设	imty
党和国家领导人	itlw
澳门特别行政区	iuta
法论功骨干份子	iyab
水族三点兴头小	iydi
日早两竖与虫依	jjgw
中共中央国务院	kakb
中共中央总书记	kaky
鄂温克族自治旗	kidy
口中一川三个竖	kkgj
中国少年先锋队	klib
中国民用航空局	klnn
中国民主促进会	klnw
中国烟草总公司	klon
中国社会科学院	klpb
中国农工民主党	klpi
中国包装总公司	klqn
中国人民解放军	klwp
中央对外联络部	kmcu
中央政治局委员	kmgk
中央党史研究室	kmip
中央军事委员会	kmpw
中央军委副主席	kmpy
中央文献研究室	kmyp
中关村科技园区	kusa
中华人民共和国	kwwl
中华全国总工会	kwww
国际经济新秩序	lbxy
国有大中型企业	lddo
田甲方框四车力	llyl
国民经济各部门	lnxu
国家教育委员会	lpfw
国家烟草专卖局	lpon
国家技术监督局	lprn
山雨欲来风满楼	mfws
心有余而力不足	ndwk
以邮戳日期为准	nmnu
已类左框心尸羽	nodn
发挥着积极作用	nrue
以公有制为基础	nwdd
民族事务委员会	nygw
火里业头四点米	ojoo
数字王码输入法	opgi
数字王码发明人	opgw
宁夏回族自治区	pdla
察哈尔右翼前旗	pkqy
农业再上新台阶	pogb
农业生产合作社	potp
农村信用合作社	pswp
初生牛犊不怕虎	ptrh
农产品收购价格	puks
社会集团购买力	pwwl
解铃还需系铃人	qqgw
多行不义必自毙	qtgx
多种所有制经济	qtri
打破沙锅问到底	rdiy
据有关人士透露	rduf
据有关部门统计	rduy
后天下之乐而乐	rggq
近水楼台先得月	rise
质量品种效益年	rjkr
按国家有关规定	rlpp
失败乃成功之母	rmex
失败为成功之母	rmyx
持续稳定地增长	rxtt
批评与自我批评	rygy
根据需要和可能	srfc
机械电子工业部	ssju
机关事务管理局	sugn
树欲静而风不止	swgh
醉翁之意不在酒	swpi
第二步战略目标	tfhs
乘专机离开北京	tfsy
第二次世界大战	tfuh
翻天覆地的变化	tgsw
科学技术委员会	tirw
香港特别行政区	tita
各民主党派中央	tnym
航空航天工业部	tptu
船舶工业总公司	ttan
各人自扫门前雪	twtf
第八个五年计划	twwa
六一国际儿童节	ugla
并不以此为满足	ugnk
美国中央情报局	ulkn
新民主主义革命	unyw
新的历史条件下	urdg
北京人民大会堂	uywi
召开新闻发布会	vguw
女刀九巛臼山倒	vvvw
任期目标责任制	wahr
作出了重要贡献	wbbf
创历史最高纪录	wdkv
从胜利走向胜利	wett
贪天之功为己有	wgpd
全党和全国人民	witn
全员劳动合同制	wkar
全员劳动生产率	wkay
人贵有自知之明	wkdj
全国三八红旗手	wldr
全国人大常委会	wlww
企业经营承包制	woxr
人八登祭把头取	wwwb
从这种意义上说	wyty
经营承包责任制	xabr
比历史最高水平	xdkg
比去年同期下降	xfrb
比去年同期增长	xfrt
经济技术开发区	xira
比以往任何时候	xntw
统配煤矿总公司	xson
纪律检查委员会	xtsw
调动群众积极性	yfvn
识时务者为俊杰	yjts
这山望着那山高	ymyy
为社会主义服务	ypwt
广播电影电视部	yrju
主持召开座谈会	yrvw
这本身就说明了	ystb
广西壮族自治区	ysua
劳动服务公司	afen
区别不同情况	akgu
区别轻重缓急	aklq
世界卫生组织	albx
世界贸易组织	alqx
世界先进水平	altg
世界领先地位	alww
工农业总产值	apow
其它相关问题	apsj
基本建设投资	asvu
工程技术人员	atrk
工商执法人员	aurk
共产主义战士	auyf
共产主义理想	auys
共产主义道德	auyt
革命现实主义	awgy
革命浪漫主义	awiy
节约人力物力	axwl
敬请批评指正	ayrg
其主要原因是	aysj
职工代表大会	baww
也是不可能的	bjgr
职业技术教育	bory
取得圆满成功	btla
联合国秘书长	bwlt
联合国安理会	bwlw
对外友好协会	cqdw
对外经济贸易	cqxj
在世界范围内	dalm
在某种程度上	dath
有限责任公司	dbgn
在通常情况下	dcig
万万没有想到	ddig
三寸不烂之舌	dfgt
在正常情况下	dgig
在一定程度上	dgph
在一定范围内	dgpm
在不久的将来	dgqg
大开方便之门	dgyu
大型文艺晚会	dgyw
在党的领导下	dirg
大学生运动会	ditw
在日常生活中	djik
面临新的挑战	djuh
历史最高水平	dkjg
历史最高纪录	dkjv
历史唯物主义	dkky
历史经验证明	dkxj
历史文化名城	dkyf
百思不得其解	dlgq
大国沙文主义	dliy
在同等条件下	dmtg
大家一致认为	dpgy
在很大程度上	dtdh
有很大的关系	dtdt
在特定情况下	dtpg
百闻不如一见	dugm
在新的一年里	durj
友好合作关系	dvwt
在全国范围内	dwlm
在今后几年里	dwrj
有计划有步骤	dyac
有计划按比例	dyaw
万变不离其宗	dygp
在这种情况下	dytg
在这个基础上	dywh
在讲话中强调	dyyy
采取切实措施	ebay
采取有效措施	ebdy
采取多种形式	ebqa
胜不骄败不馁	egcq
用一句话来说	egqy
及时总结经验	ejuc
爱国卫生运动	elbf
爱国统一战线	elxx
爱国主义精神	elyp
股票上市公司	eshn
股份有限公司	ewdn
走在时代前列	fdjg
博采各家之长	fett
二者必居其一	ffng
无毒无副作用	fgfe
地球同步轨道	fgmu
地理信息系统	fgwx
十五计划纲要	fgys
远水难救近火	fico
违法违规行为	fify
井水不犯河水	figi
干涉中国内政	fikg
违法犯罪分子	fiqb
老中青三结合	fkgw
增加产品品种	flut
专业技术人员	fork
专业技术职称	fort
填补国内空白	fplr
真金不怕火炼	fqgo
直接经济损失	frxr
进行国事访问	ftlu
走私犯罪分子	ftqb
远亲不如近邻	fugw
动产和不动产	futu
封建迷信活动	fvof
地方保护主义	fywy
死马当活马医	gcia
王码五笔字型	gdgg
亚太经合组织	gdxx
不受欢迎的人	gecw
平均增长速度	gffy
平均发展水平	gfng
平均发展速度	gfny
表示热烈祝贺	gfrl
表示热烈欢迎	gfrq
平均每年下降	gftb
不过如此而已	gfvn
天无绝人之路	gfxk
表示衷心祝贺	gfyl
五一劳动奖章	ggau
刑事犯罪分子	ggqb
刑事犯罪活动	ggqf
互不侵犯条约	ggwx
还治其人之身	giat
政治思想工作	gilw
亚洲各国人民	gitn
政治体制改革	giwa
不足以平民愤	gknn
不同社会制度	gmpy
事实胜于雄辩	gpeu
不可掉以轻心	gsrn
不知天高地厚	gtgd
一个中国原则	gwkm
一个中国政策	gwkt
一个重要方面	gwtd
现代科学技术	gwts
两个文明建设	gwyy
下级服从上级	gxex
不费吹灰之力	gxkl
政府工作报告	gyat
政府机构改革	gysa
上有老下有小	hdfi
占有一席之地	hdgf
具有中国特色	hdkq
具有重要作用	hdte
具有重要意义	hdty
具有决定性的	hdur
非常任理事国	hiwl
上气不接下气	hrgr
非生产性建设	htuy
非公有制经济	hwdi
常规科学技术	ifts
光天化日之下	igwg
党政领导干部	igwu
沿海开放城市	iigy
沿海发展战略	iinl
党中央领导下	ikmg
党风廉政建设	imyy
少数服从多数	ioeo
少数民族地区	iona
党的基本路线	irax
消极腐败现象	isyq
消息灵通人士	itvf
深入调查研究	ityp
澳门特区政府	iuty
电子有限公司	jbdn
电子信息产业	jbwo
果然不出所料	jqgo
日本朝日新闻	jsfu
日本军国主义	jspy
最根本的问题	jssj
最新调查表明	juyj
最高人民法院	jywb
中医药管理局	kaan
中共北京市委	kaut
吃不了兜着走	kgbf
吃一堑长一智	kglt
中国工农红军	klap
中国工商银行	klat
中国工人阶级	klax
中国民主同盟	klnj
中国农业银行	klpt
中国科技大学	klti
中国交通银行	klut
中国人民大学	klwi
中国人民银行	klwt
中国红十字会	klxw
中国文化传统	klyx
中央工作会议	kmay
中央直属机关	kmfu
中央国家机关	kmlu
中央领导同志	kmwf
中央纪委委员	kmxk
中外合资企业	kqwo
鄂伦春自治旗	kwdy
四项基本原则	laam
国际先进水平	lbtg
国际关系准则	lbum
国际会议中心	lbwn
国有企业改革	ldwa
圆满完成任务	lipt
国内先进水平	lmtg
国民生产总值	lntw
国民经济计划	lnxa
国家不分大小	lpgi
国家另有规定	lpkp
国家社会主义	lppy
国家行政学院	lptb
国家经济建设	lpxy
转换经营机制	lrxr
连想都不敢想	lsfs
思想政治觉悟	lsgn
思想政治工作	lsgw
思想政治教育	lsgy
思想道德水平	lsug
思想道德素质	lsur
加入世贸组织	ltax
国务院办公厅	ltbd
国务院副总理	ltbg
暂行管理办法	ltti
回答记者提问	ltyu
加强民族团结	lxnx
加强检查督促	lxsw
因为种种原因	lytl
内蒙古自治区	mada
风马牛不相及	mcre
几十年如一日	mfrj
由于某种原因	mgal
由于上述原因	mghl
由于种种原因	mgtl
由此可以看出	mhsb
巾帼不让须眉	mmgn
网络运行中心	mxfn
网络信息中心	mxwn
改革开放以来	nagg
民营科技企业	nato
以胜利而告终	netx
必须首先考虑	neuh
迅雷不及掩耳	nfgb
以事实为根据	ngpr
发表重要讲话	ngty
以上几个方面	nhmd
以法律为准绳	nitx
发展研究中心	nndn
惶惶不可终日	nngj
发展是硬道理	nnjg
屡屡见诸报端	nnmu
发展科学技术	nnts
避之惟恐不及	npne
以失败而告终	nrmx
发挥模范作用	nrse
发挥自身优势	nrtr
忙得不亦乐乎	ntgt
忙得不可开交	ntgu
以美国为首的	nulr
敢怒而不敢言	nvdy
导弹防御系统	nxbx
已经充分证明	nxyj
民族区域自治	nyai
民族解放运动	nyqf
民族解放阵线	nyqx
民族自治地区	nyta
以赢利为目的	nytr
民族统一战线	nyxx
民族主义情绪	nyyx
精神文明建设	opyy
密切联系群众	pabw
神圣不可侵犯	pcgq
宏观调控能力	pcyl
实现祖国统一	pgpg
农田基本建设	play
祖国和平统一	pltg
军国主义思想	plys
家丑不可外扬	pngr
农业生产资料	poto
完善市场机制	puyr
社会政治稳定	pwgp
社会治安工作	pwiw
社会保障基金	pwwq
社会保障制度	pwwy
社会主义道路	pwyk
社会主义祖国	pwyl
社会主义事业	pwyo
社会主义国家	pwyp
宋庆龄基金会	pyhw
犹太复国主义	qdty
金融体制改革	qgwa
留学归国人员	qijk
多少年如一日	qirj
贸易保护主义	qjwy
多办一些实事	qlgg
多种经济成分	qtxw
乌兹别克斯坦	qukf
外商独资企业	quqo
外商投资企业	quro
外交部发言人	quuw
名优特新产品	qwtk
解放军总医院	qypb
反其道而行之	raup
捍卫国家主权	rbls
打肿脸充胖子	reeb
打击恐怖主义	rfay
手无缚鸡之力	rfxl
年平均增长率	rgfy
持不同政见者	rgmf
据不完全统计	rgpy
按照国际惯例	rjlw
按照客观规律	rjpt
挽回经济损失	rlxr
气氛十分热烈	rrfg
技术有限公司	rsdn
提高工作效率	ryay
提高思想认识	ryly
提高生活水平	rytg
提高产品质量	ryuj
提高经济效益	ryxu
要进一步完善	sfgu
西乌珠穆沁旗	sqgy
根据具体情况	srhu
根据以上情况	srnu
根本出路在于	ssbg
横向经济联合	stxw
标准五笔字型	sugg
可望而不可及	syde
西方的价值观	syrc
西方反华势力	syrl
第三世界国家	tdap
重大而深远的	tddr
千古不解之迷	tdgo
利用工作之便	teaw
行政事业单位	tggw
处于被动状态	tgpd
处于领先地位	tgww
和平统一祖国	tgxl
重点建设项目	thvh
科学社会主义	tipy
科学技术兴农	tirp
科学文化水平	tiyg
科学文化素质	tiyr
特别指出的是	tkrj
我国政府部门	tlgu
我国社会主义	tlpy
生米煮成熟饭	tofq
行业不正之风	togm
自然科学基金	tqtq
科技攻关计划	traa
科技有限公司	trdn
物质文化生活	tryi
物质文明建设	tryy
重要组成部分	tsxw
种种迹象表明	ttyj
生命在于运动	twdf
各级领导班子	txwb
各级领导干部	txwu
各级人民政府	txwy
自主知识产权	tyts
知识产权保护	tyur
知识就是力量	tyyj
养老保险基金	ufwq
立于不败之地	uggf
交流工作经验	uiac
产品更新换代	ukgw
关心国家大事	unlg
前怕狼后怕虎	unqh
关心群众生活	unvi
新的历史时期	urda
新技术开发区	ursa
新的伟大工程	urwt
资本主义国家	usyp
资本主义社会	usyw
产生深远影响	utik
尊重客观事实	utpp
新产品发布会	uukw
资产管理公司	uutn
新华社北京电	uwpj
北方工业公司	uyan
意识形态领域	uygf
北京王码集团	uygl
辩证唯物主义	uyky
北京市海淀区	uyya
九届全国人大	vnwd
九牛二虎之力	vrfl
如入无人之境	vtff
群众反应强烈	vwrg
从某种意义上	wath
作了重要讲话	wbty
从历史经验看	wdkr
全面质量管理	wdrg
全面贯彻落实	wdxp
人才交流中心	wfun
八一南昌起义	wgfy
代表中国政府	wgky
八小时工作制	wijr
全党全国人民	wiwn
假冒伪劣商品	wjwk
从中央到地方	wkmy
全国劳动模范	wlaa
全国政协主席	wlgy
传输控制协议	wlry
全国各族人民	wltn
全国人大代表	wlwg
全国统战工作	wlxw
人民日报记者	wnjf
人民日报社论	wnjy
人民内部矛盾	wnmr
人民民主专政	wnng
人民生活水平	wntg
领导全国人民	wnwn
人类已经迈入	wont
追究刑事责任	wpgw
今后一段时期	wrga
信托投资公司	wrrn
保护知识产权	wrts
保持高度一致	wryg
分析人士指出	wswb
优秀共产党员	wtak
任务相当繁重	wtst
信息处理技术	wtts
信息高速公路	wtyk
做好本职工作	wvsw
个体私营经济	wwti
从任何意义上	wwwh
优化经济结构	wwxs
集体主义思想	wwys
从这个意义上	wywh
绝对平均主义	xcgy
经济发展战略	xinl
经济犯罪分子	xiqb
经济犯罪活动	xiqf
经济技术合作	xirw
经济体制改革	xiwa
经济调控体系	xiyt
维护世界和平	xrag
维护社会稳定	xrpp
综合经济效益	xwxu
继续深入开展	xxin
纷纷发表谈话	xxny
谁也没有想到	ybig
为了方便群众	ybyw
主观唯心主义	ycky
广大干部群众	ydfw
这有利于促进	ydtf
广大人民群众	ydww
变坏事为好事	yfgg
为真理而斗争	yfgq
毫无事实根据	yfgr
认真贯彻落实	yfxp
市场经济秩序	yfxy
高不成低不就	ygdy
毫不犹豫地说	ygqy
变被动为主动	ypff
请提宝贵意见	yrpm
主要内容如下	ysmg
高新技术领域	yurf
高新技术项目	yurh
高新技术产品	yurk
高新技术产业	yuro
为群众办实事	yvwg
文化教育水平	ywfg
充分发表意见	ywnm
为人民谋利益	ywnu
充分发动群众	ywnw
充分发扬民主	ywny
充分交换意见	ywum
文化娱乐活动	ywvf
高级知识分子	yxtb
高级人民法院	yxwb
工艺美术品	aauk
黄埔同学会	afmw
劳动密集型	afpg
劳动生产力	aftl
劳动生产率	afty
某一时期的	agjr
共青团中央	aglm
共青团组织	aglx
功到自然成	agtd
世上无难事	ahfg
节目主持人	ahyw
欧洲共同体	aiaw
斯洛文尼亚	aiyg
英国路透社	alkp
世界锦标赛	alqp
世界多极化	alqw
共同关心的	amur
基层党组织	anix
工业原材料	aodo
工业总产值	aouw
工农一体化	apgw
工农业产品	apok
幕后指挥者	arrf
东西方关系	asyt
医务工作者	ataf
工商界人士	aulf
欧美同学会	aumw
革命根据地	awsf
工作委员会	awtw
工人文化宫	awyp
其他方面的	awyr
职工再就业	bago
陕甘宁边区	bapa
陈巴尔虎旗	bcqy
陆海空三军	bipp
卫星地面站	bjfu
防患于未然	bkgq
出口转内销	bklq
孙中山先生	bkmt
出力不讨好	blgv
阿尔巴尼亚	bqcg
阿尔及利亚	bqeg
承包责任制	bqgr
阿拉伯数字	brwp
联合国宪章	bwlu
出人意料地	bwuf
函件分发器	bwwk
出席了大会	bybw
出席了会议	byby
出席开幕式	byga
出席宴会的	bypr
出席并讲话	byuy
马克思主义	cdly
对大家来说	cdpy
邓小平文选	cigt
邓小平理论	cigy
参加了会见	clbm
马拉松比赛	crsp
预算内资金	ctmq
预算外资金	ctqq
对我们来说	ctwy
巴彦淖尔盟	cuij
驻华大使馆	cwdq
难言的苦衷	cyry
在某些方面	dahd
太阳能电池	dbci
达成了协议	ddby
在百忙之中	ddnk
大百科全书	ddtn
耐用消费品	deik
而且引起了	dexb
在此基础上	dhah
成果鉴定会	djjw
历史博物馆	dkfq
历史责任感	dkgd
大中型项目	dkgh
大中型企业	dkgo
大踏步前进	dkhf
有中国特色	dklq
历史性飞跃	dknk
历史必然性	dknn
布加勒斯特	dlat
大男子主义	dlby
三思而后行	dldt
大幅度增加	dmyl
故宫博物院	dpfb
丰富的经验	dprc
大多数人的	dqor
在本世纪内	dsam
大西洋联盟	dsij
有本质区别	dsrk
厂长负责制	dtqr
三北防护林	dubs
在新形势下	dugg
邦交正常化	dugw
故意杀人罪	duql
有关负责人	duqw
在新的世纪	durx
大部分地区	duwa
在北京召开	duyg
友好代表团	dvwl
克什克腾旗	dwdy
三八妇女节	dwva
三八红旗手	dwxr
研讨洽谈会	dyiw
在这个时候	dyww
朋友遍天下	edyg
助理工程师	egaj
脚踏两只船	ekgt
爱国主义者	elyf
采购供应站	emwu
彩色电视机	eqjs
股票交易所	esur
服务性行业	etno
脸红脖子粗	exeo
无巧不成书	fagn
进出口公司	fbkn
进出口总额	fbkp
才能有效地	fcdf
十万八千里	fdwj
塔吉克斯坦	ffdf
博士研究生	ffdt
二十一世纪	ffgx
地地道道的	ffur
进一步扩大	fghd
进一步指明	fghj
进一步落实	fghp
进一步做好	fghv
进一步加强	fghx
十一国庆节	fgla
未来发展的	fgnr
干一番事业	fgto
无政府状态	fgyd
坏事变好事	fgyg
无政府主义	fgyy
无党派人士	fiif
专题研讨会	fjdw
无固定收入	flpt
土默特左旗	flty
无风三尺浪	fmdi
无风不起浪	fmgi
无发展前途	fnnw
专属经济区	fnxa
无官一身轻	fpgl
真实反映了	fprb
专家委员会	fptw
埃塞俄比亚	fpwg
超负荷运转	fqal
卖狗皮膏药	fqha
地质矿产部	frdu
十年如一日	frvj
越简单越好	ftuv
超音速飞机	fugs
赤道几内亚	fumg
起决定作用	fupe
封建统治者	fvxf
十八般武艺	fwta
无线局域网	fxnm
教育工作者	fyaf
协调与合作	fygw
无记名投票	fyqs
协调委员会	fytw
起诉意见书	fyun
一切向钱看	gatr
更确切地说	gday
王码研究院	gddb
亘古未有的	gdfr
一百二十个	gdfw
王码电话机	gdjs
更大的作用	gdre
更大的成就	gdry
更大程度上	gdth
一去不复返	gfgr
平均日产量	gfjj
到现在为止	ggdh
下一步工作	gghw
不正当竞争	ggiq
形形色色的	ggqr
刑事诉讼法	ggyi
更上一层楼	ghgs
到目前为止	ghuh
表演艺术家	giap
政治责任心	gign
政治局委员	gink
政治局常委	gint
政治指导员	girk
还是王码好	gjgv
毒品走私案	gkfp
五四青年节	glga
更加紧密地	gljf
更加全面地	glwf
正因为如此	glyh
正因为这样	glys
不发达地区	gnda
更快地发展	gnfn
开发试验区	gnya
致以诚挚的	gnyr
烈火见真金	gomq
不安定因素	gppg
天安门广场	gpuf
天安门城楼	gpus
不完全统计	gpwy
两审终审制	gpxr
青年联欢节	grba
一揽子协议	grby
青年突击队	grpb
青年突击手	grpr
死抱着不放	gruy
一年比一年	grxr
事后诸葛亮	gryy
到本世纪末	gsag
不可避免地	gsnf
一物降一物	gtbt
两条腿走路	gtek
严重影响了	gtjb
政策性亏损	gtnr
五千年文化	gtrw
更重要的是	gtsj
不管怎么说	gtty
不知道是否	gtug
不等价交换	gtwr
副总工程师	guaj
副总参谋长	guct
一次又一次	gucu
一九九八年	gvvr
到群众中去	gvwf
一九八四年	gvwr
两个基本点	gwah
一个又一个	gwcw
不使用武力	gwel
现代服务业	gweo
天公不作美	gwgu
一个时期的	gwjr
一会儿功夫	gwqf
正人先正己	gwtn
开创新局面	gwud
不仅仅如此	gwwh
现代化强国	gwwl
现代化建设	gwwy
不结盟运动	gxjf
不结盟政策	gxjt
不结盟会议	gxjy
理论工作者	gyaf
开放型经济	gygi
一言以蔽之	gynp
王永民教授	gynr
理论和实践	gytk
副主任委员	gywk
政府代表团	gywl
占世界人口	halk
点对点协议	hchy
具有重要的	hdtr
非正式会晤	hgaj
非正式会议	hgay
上下级之间	hgxu
非法出版物	hibt
非常危险的	hiqr
非常设机构	hiys
非暴力手段	hjlw
战略投资者	hlrf
目标责任制	hsgr
目前的情况	huru
占人口总数	hwko
占公家便宜	hwpp
占主导地位	hynw
小巫见大巫	iama
温故而知新	iddu
激励和鼓舞	idtr
党支部书记	ifuy
兴致勃勃地	igff
港澳办公室	iilp
江泽民指出	iinb
江泽民同志	iinf
光辉的榜样	iirs
深深认识到	iiyg
光明的前途	ijrw
党中央周围	ikml
水火不相容	iogp
汉字输入法	ipli
法定继承人	ipxw
少年运动员	irfk
少年先锋队	irtb
小泉纯一郎	irxy
学术研讨会	isdw
学术讨论会	isyw
党务工作者	itaf
沙特阿拉伯	itbw
常务委员会	ittw
举行座谈会	ityw
沉痛的教训	iury
当前和今后	iutr
常任理事国	iwgl
党领导人民	iwnn
消费者协会	ixfw
消费品市场	ixkf
消费合作社	ixwp
流氓恶势力	iygl
深刻的影响	iyrk
常言说得好	iyyv
电子游戏厅	jbid
电子计算机	jbys
最大限度地	jdbf
最有前途的	jdur
日用工业品	jeak
日用消费品	jeik
电脑总公司	jeun
是否有可能	jgdc
是不是符合	jgjw
最惠国待遇	jglj
是不可能的	jgsr
电影工作者	jjaf
蚂蚁啃骨头	jjku
临时抱佛脚	jjre
电视工作者	jpaf
电视艺术片	jpat
紧密地团结	jpfx
坚定不移地	jpgf
电视连续剧	jpln
坚定的信心	jprn
电视接收机	jprs
电视系列片	jptt
鉴定委员会	jptw
里外不是人	jqgw
日久见人心	jqmn
坚持和完善	jrtu
野生动物园	jtfl
日处理能力	jtgl
最重要的是	jtsj
日益激烈的	juir
日益复杂的	jutr
时代主旋律	jwyt
电话接线生	jyrt
电话交换机	jyus
哈萨克斯坦	kadf
跨越式发展	kfan
呈上升趋势	khtr
喀喇沁左翼	kkin
中国共产党	klai
中国专利局	klfn
中国致公党	klgi
吃力不讨好	klgv
中国科学院	kltb
中央警卫局	kman
中央政治局	kmgn
中央电视台	kmjc
中央办公厅	kmld
中央情报局	kmnn
中央书记处	kmnt
中央宣传部	kmpu
中央气象台	kmrc
中央各部委	kmtt
中央委员会	kmtw
中央编译局	kmxn
中央统战部	kmxu
唯心主义者	knyf
中西医结合	ksaw
呼和浩特市	ktiy
唯物辩证法	ktui
唯物主义者	ktyf
呼伦贝尔盟	kwmj
加工出口区	laba
轻工业产品	laok
国际劳动节	lbaa
国际大循环	lbdg
国际研讨会	lbdw
国际互联网	lbgm
国防现代化	lbgw
国际法准则	lbim
国际儿童节	lbqa
国防科工委	lbtt
国际奥委会	lbtw
国际新秩序	lbuy
国土资源部	lfuu
因小而失大	lidd
国内外市场	lmqf
国内外经济	lmqi
国内外形势	lmqr
办几件实事	lmwg
国民警卫队	lnab
国民总收入	lnut
国民总产值	lnuw
国家专利局	lpfn
国家环保局	lpgn
国家副主席	lpgy
国家海洋局	lpin
国家安全部	lppu
国家档案局	lpsn
国家和地区	lpta
国家商检局	lpun
国家建材局	lpvn
国家保密局	lpwn
黑社会性质	lpwr
国家领导人	lpww
